% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=580217, Mon Oct  7 17:41:39 2019
1 13 -0.027395812743302266 -9.324018049726632e-07 9.932374176496329e-06 0.01486112809237757 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 26 -0.03810140963502538 -1.6615158833990487e-06 4.5463238678753445e-06 0.02984987520702207 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 39 -0.04005963976558672 -3.954913162289438e-06 8.409102750213474e-06 0.04719525682084026 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 52 -0.045836123349206864 -9.167421994788505e-05 4.07723274368707e-05 0.07548452486384835 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 65 -0.06655942960270204 -1.0201421735791767e-05 1.3972906774528543e-05 0.08238081070400348 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 78 -0.06776826087887267 -2.2289689043932862e-05 1.5879390908069256e-05 0.08413102708396057 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 91 -0.06857401206998967 -2.3480756304464744e-06 1.7995871406009016e-05 0.10457060296545655 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 104 -0.07775709033285233 -2.2018460786124993e-05 7.158395460709584e-06 0.10331237665502505 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 117 -0.07012994754723505 -1.3827234082843954e-05 4.565978416209365e-05 0.09375592365807939 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10 130 -0.06878381071538792 -5.358010835981684e-05 3.768079014286251e-05 0.08702903213078032 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11 143 -0.09634013056025237 -6.1522940537626175e-06 4.746583105322216e-06 0.07918271364377578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 156 -0.09918809932160162 -5.311108204974611e-05 5.818217479973295e-05 0.08909801180213602 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13 169 -0.08035004119969029 -1.264836077460001e-06 9.637973131018592e-05 0.09007517127258764 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 182 -0.08790448095187357 -7.855357083440316e-05 1.820952394770312e-05 0.07767567992761672 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15 195 -0.09022229304456097 -2.7550505335891986e-05 1.2920746427961591e-05 0.08158425832611678 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
16 208 -0.08648086552968481 -3.19072954040185e-05 1.8312247726130374e-05 0.092842740816584 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17 221 -0.06817075166779908 -1.1997270238168472e-05 4.956149102529074e-06 0.1038495043460562 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18 234 -0.07226660733417815 -6.553640346857337e-06 1.011507054623883e-05 0.1005474407370544 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
19 247 -0.07396102700393818 -5.630525086942591e-06 0.00010361090342039724 0.0937503004366022 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
20 260 -0.0962578248702245 -3.721184610584244e-05 2.22031391573163e-05 0.09699313848041878 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
21 273 -0.09898343696378638 -3.414727835881688e-05 0.00010804106681004596 0.09059795357725796 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
22 286 -0.09111310780557579 -1.970784646278692e-06 5.9694927717751844e-05 0.09966231748763976 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
23 299 -0.08484106947417017 -1.9436413635647234e-05 5.964609688269541e-05 0.10073796396616291 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24 312 -0.08690303574589707 -4.843897994730227e-05 5.93527495976125e-06 0.12166842528027504 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
25 325 -0.09173287449728647 -6.7951610325119e-06 7.865672293650196e-05 0.11626121336021637 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
26 338 -0.09513444950462975 -6.898098800671855e-05 6.859721928653837e-05 0.10968463839827632 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
27 351 -0.11840138153093065 -5.77141917334076e-05 3.5323578460242624e-05 0.10581482293413463 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
28 364 -0.12184916056294463 -5.7669070640584615e-05 3.397137739154392e-05 0.10628102724976973 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
29 377 -0.1360625586531798 -6.900098872782185e-05 0.0001314713561385849 0.1185560448978879 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
30 390 -0.14021542215566 -0.00012019173108900693 7.036042321706524e-06 0.14150390587950296 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
31 403 -0.14266789118094847 -1.8793412979547092e-06 6.789358424852418e-05 0.14185300956044214 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
32 416 -0.1393388299615356 -5.228317770027572e-05 0.00012569654028606958 0.13771630580945915 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
33 429 -0.14081204881935694 -8.578441590813361e-06 0.0002059210241127715 0.14136219796809607 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
34 442 -0.1410056478174987 -5.065944593869363e-06 3.3170761148578245e-06 0.1478184754678839 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
35 455 -0.13710749873854003 -1.8729184249337433e-05 4.641979185591465e-06 0.13744604781570685 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
36 468 -0.1387012759971981 -3.906123383187893e-05 7.053241712309489e-05 0.15319956780172125 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
37 481 -0.13018201345392127 -0.0001053765612249951 3.534213181273611e-05 0.16146624642750426 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
38 494 -0.13297534466245675 -2.501491846108821e-05 3.777785413200335e-06 0.17488572093314203 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
39 507 -0.13166950069870684 -2.0826839854890647e-05 9.961719337505191e-05 0.16978041781327416 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
40 520 -0.15722903523132248 -4.682805157055659e-05 7.44757826669453e-05 0.1742271941387395 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
41 533 -0.16034587456848162 -2.2554737253857134e-07 1.4091389503909696e-05 0.16662780157018278 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
42 546 -0.16038125525321212 -6.116637157015018e-05 3.698461314537006e-05 0.17322019021351062 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
43 559 -0.16366380185322638 -0.00010049299431497209 8.32676982362145e-06 0.18022614538012505 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
44 572 -0.16079541016280338 -4.5295414825044684e-07 2.5520856086808396e-06 0.1908044879355556 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
45 585 -0.17689808329351292 -1.4413112841978697e-05 2.4932743916857258e-05 0.19618360886439218 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
46 598 -0.18153773548683694 -3.7584460409965178e-06 2.9309834410166887e-05 0.2104415491767698 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
47 611 -0.1882519086069225 -5.401413008807571e-05 3.261582018705203e-05 0.1937325193806918 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
48 624 -0.1935997892546685 -4.933900957328421e-05 8.002658205843576e-06 0.19241129463486545 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
49 637 -0.19509467676432457 -3.351658890961185e-06 2.689993843575484e-05 0.2268965472778885 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
