epoch, training_loss, training_acc, test_acc, counterexample_acc
  0, 0.95630, 0.58748, 0.78567, 0.02041
  1, 0.74189, 0.69555, 0.20000, 0.00000
  2, 0.56652, 0.76579, 0.35367, 0.00000
  3, 0.38198, 0.85653, 0.72167, 0.00000
  4, 0.26786, 0.89640, 0.53433, 0.02041
  5, 0.21566, 0.92957, 0.89633, 0.00000
  6, 0.17831, 0.94131, 0.89533, 0.02041
  7, 0.15224, 0.94988, 0.90667, 0.02041
  8, 0.13958, 0.95789, 0.84133, 0.00000
  9, 0.12525, 0.95696, 0.93533, 0.00000
 10, 0.12652, 0.96218, 0.96933, 0.02041
 11, 0.11093, 0.96311, 0.97733, 0.02041
 12, 0.09727, 0.97205, 0.73667, 0.00000
 13, 0.09585, 0.97522, 0.20000, 0.00000
 14, 0.08535, 0.97373, 0.91067, 0.00000
 15, 0.07058, 0.97764, 0.82367, 0.02041
 16, 0.07173, 0.97801, 0.98100, 0.00000
 17, 0.07255, 0.97857, 0.94333, 0.02041
 18, 0.06998, 0.97950, 0.95733, 0.02041
 19, 0.05769, 0.98416, 0.20000, 0.00000
 20, 0.06150, 0.98249, 0.95967, 0.02041
 21, 0.05339, 0.98416, 0.95900, 0.02041
 22, 0.04285, 0.98696, 0.84800, 0.00000
 23, 0.03833, 0.98826, 0.97733, 0.02041
 24, 0.03944, 0.98789, 0.97767, 0.00000
 25, 0.03959, 0.98901, 0.95800, 0.00000
 26, 0.03622, 0.99087, 0.98267, 0.00000
 27, 0.03265, 0.99124, 0.96200, 0.02041
 28, 0.03327, 0.99050, 0.98367, 0.00000
 29, 0.02612, 0.99311, 0.98167, 0.00000
 30, 0.02678, 0.99255, 0.97500, 0.02041
 31, 0.02196, 0.99348, 0.98067, 0.00000
 32, 0.01995, 0.99460, 0.20000, 0.00000
 33, 0.02268, 0.99404, 0.96133, 0.02041
 34, 0.01981, 0.99404, 0.95033, 0.00000
 35, 0.01448, 0.99721, 0.97233, 0.00000
 36, 0.01990, 0.99366, 0.97967, 0.00000
 37, 0.01933, 0.99460, 0.97100, 0.00000
 38, 0.01628, 0.99534, 0.96333, 0.02041
 39, 0.01477, 0.99665, 0.96900, 0.00000
 40, 0.01290, 0.99702, 0.98433, 0.00000
 41, 0.01398, 0.99665, 0.97533, 0.02041
 42, 0.01146, 0.99739, 0.96833, 0.02041
 43, 0.01083, 0.99665, 0.94867, 0.02041
 44, 0.01189, 0.99702, 0.96500, 0.02041
 45, 0.01002, 0.99795, 0.96633, 0.02041
 46, 0.01248, 0.99739, 0.98100, 0.02041
 47, 0.01067, 0.99721, 0.96567, 0.02041
 48, 0.01111, 0.99776, 0.96933, 0.02041
 49, 0.00852, 0.99795, 0.97833, 0.02041
 50, 0.01027, 0.99758, 0.97467, 0.02041
 51, 0.00735, 0.99832, 0.97000, 0.02041
 52, 0.00776, 0.99870, 0.97800, 0.02041
 53, 0.00900, 0.99814, 0.97567, 0.02041
 54, 0.00777, 0.99832, 0.96533, 0.02041
 55, 0.00722, 0.99814, 0.98000, 0.02041
 56, 0.00817, 0.99814, 0.96833, 0.02041
 57, 0.00684, 0.99870, 0.20000, 0.00000
 58, 0.00768, 0.99832, 0.97767, 0.02041
 59, 0.00748, 0.99814, 0.19967, 0.00000
 60, 0.00642, 0.99832, 0.97633, 0.02041
 61, 0.00699, 0.99851, 0.97667, 0.02041
 62, 0.00748, 0.99814, 0.97800, 0.02041
 63, 0.00625, 0.99851, 0.96933, 0.02041
 64, 0.00669, 0.99888, 0.97567, 0.02041
 65, 0.00597, 0.99870, 0.98100, 0.02041
 66, 0.00591, 0.99888, 0.97633, 0.02041
 67, 0.00698, 0.99795, 0.97967, 0.02041
 68, 0.00585, 0.99832, 0.97933, 0.02041
 69, 0.00686, 0.99851, 0.98233, 0.02041
 70, 0.00666, 0.99870, 0.97567, 0.02041
 71, 0.00595, 0.99851, 0.96933, 0.02041
 72, 0.00662, 0.99870, 0.97867, 0.02041
 73, 0.00728, 0.99851, 0.97300, 0.02041
 74, 0.00681, 0.99870, 0.97567, 0.02041
 75, 0.00649, 0.99851, 0.97433, 0.02041
 76, 0.00723, 0.99832, 0.97167, 0.02041
 77, 0.00671, 0.99888, 0.97733, 0.02041
 78, 0.00549, 0.99851, 0.20000, 0.00000
 79, 0.00645, 0.99870, 0.97200, 0.02041
