epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00486, 0.99833, 0.96800, 0.02041, 1,
  1, 0.09111, 0.97507, 0.20000, 0.00000, 0,
  2, 0.05333, 0.98381, 0.97700, 0.02041, 1,
  3, 0.03715, 0.98865, 0.97867, 0.00000, 1,
  4, 0.04309, 0.98735, 0.98500, 0.00000, 1,
  5, 0.03254, 0.99144, 0.52333, 0.00000, 0,
  6, 0.02270, 0.99498, 0.25900, 0.00000, 0,
  7, 0.02807, 0.99181, 0.24000, 0.00000, 0,
  8, 0.02496, 0.99349, 0.98467, 0.02041, 0,
  9, 0.01336, 0.99646, 0.97533, 0.02041, 0,
 10, 0.02548, 0.99367, 0.20000, 0.00000, 0,
 11, 0.01310, 0.99739, 0.98167, 0.02041, 0,
 12, 0.01745, 0.99498, 0.97867, 0.00000, 0,
 13, 0.01565, 0.99628, 0.20000, 0.00000, 0,
 14, 0.01055, 0.99777, 0.98567, 0.00000, 1,
 15, 0.01294, 0.99684, 0.97933, 0.02041, 0,
 16, 0.01174, 0.99721, 0.98100, 0.02041, 0,
 17, 0.01017, 0.99795, 0.97800, 0.02041, 0,
 18, 0.00539, 0.99888, 0.97900, 0.02041, 0,
 19, 0.00874, 0.99795, 0.97033, 0.02041, 0,
 20, 0.00757, 0.99814, 0.98500, 0.00000, 0,
 21, 0.00620, 0.99833, 0.97800, 0.02041, 0,
 22, 0.00502, 0.99888, 0.97333, 0.02041, 0,
 23, 0.00585, 0.99888, 0.97800, 0.02041, 0,
 24, 0.00433, 0.99888, 0.97367, 0.02041, 0,
 25, 0.00765, 0.99814, 0.97900, 0.00000, 0,
 26, 0.00950, 0.99721, 0.98467, 0.02041, 0,
 27, 0.00516, 0.99888, 0.98467, 0.02041, 0,
 28, 0.00765, 0.99814, 0.97633, 0.02041, 0,
 29, 0.00445, 0.99851, 0.98467, 0.02041, 0,
 30, 0.00427, 0.99907, 0.97667, 0.02041, 0,
 31, 0.00475, 0.99907, 0.95667, 0.02041, 0,
 32, 0.00457, 0.99926, 0.97767, 0.02041, 0,
 33, 0.00545, 0.99907, 0.98467, 0.02041, 0,
 34, 0.00349, 0.99907, 0.98400, 0.02041, 0,
 35, 0.00348, 0.99888, 0.96467, 0.02041, 0,
 36, 0.00344, 0.99907, 0.98400, 0.02041, 0,
 37, 0.00377, 0.99926, 0.97767, 0.02041, 0,
 38, 0.00327, 0.99907, 0.98433, 0.02041, 0,
 39, 0.00370, 0.99888, 0.98133, 0.02041, 0,
 40, 0.00439, 0.99888, 0.98600, 0.02041, 1,
 41, 0.00341, 0.99926, 0.98067, 0.02041, 0,
 42, 0.00328, 0.99888, 0.98067, 0.02041, 0,
 43, 0.00329, 0.99888, 0.97767, 0.02041, 0,
 44, 0.00286, 0.99907, 0.97933, 0.02041, 0,
 45, 0.00252, 0.99944, 0.98300, 0.02041, 0,
 46, 0.00238, 0.99926, 0.98167, 0.02041, 0,
 47, 0.00242, 0.99888, 0.98200, 0.02041, 0,
 48, 0.00271, 0.99944, 0.98133, 0.02041, 0,
 49, 0.00285, 0.99926, 0.97900, 0.02041, 0,
