epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best
  0, 0.00699, 0.99814, 0.98333, 0.02041, 1,
  1, 0.05850, 0.98365, 0.20000, 1.00000, 0,
  2, 0.01729, 0.99573, 0.96567, 0.02041, 0,
  3, 0.03526, 0.99090, 0.98200, 0.00000, 0,
  4, 0.03158, 0.99145, 0.40267, 0.00000, 0,
  5, 0.01510, 0.99684, 0.98300, 0.00000, 0,
  6, 0.02081, 0.99350, 0.98333, 0.00000, 0,
  7, 0.01478, 0.99684, 0.20000, 0.00000, 0,
  8, 0.02796, 0.99220, 0.91833, 0.02041, 0,
  9, 0.01125, 0.99666, 0.95367, 0.02041, 0,
 10, 0.01017, 0.99758, 0.20000, 1.00000, 0,
 11, 0.01378, 0.99610, 0.98333, 0.00000, 0,
 12, 0.00998, 0.99777, 0.96867, 0.02041, 0,
 13, 0.00975, 0.99796, 0.97833, 0.02041, 0,
 14, 0.01307, 0.99703, 0.97200, 0.00000, 0,
 15, 0.00975, 0.99721, 0.97300, 0.02041, 0,
 16, 0.00960, 0.99758, 0.20000, 0.00000, 0,
 17, 0.01030, 0.99740, 0.98633, 0.02041, 1,
 18, 0.00621, 0.99777, 0.98233, 0.02041, 0,
 19, 0.00585, 0.99814, 0.98400, 0.00000, 0,
 20, 0.00740, 0.99851, 0.97367, 0.02041, 0,
 21, 0.00706, 0.99814, 0.98000, 0.02041, 0,
 22, 0.00372, 0.99870, 0.97667, 0.02041, 0,
 23, 0.00631, 0.99833, 0.98533, 0.02041, 0,
 24, 0.00293, 0.99889, 0.98333, 0.02041, 0,
 25, 0.00603, 0.99851, 0.97233, 0.02041, 0,
 26, 0.00574, 0.99833, 0.98033, 0.02041, 0,
 27, 0.00414, 0.99870, 0.98400, 0.02041, 0,
 28, 0.00482, 0.99870, 0.98133, 0.02041, 0,
 29, 0.00395, 0.99889, 0.98267, 0.02041, 0,
 30, 0.00344, 0.99870, 0.20733, 0.00000, 0,
 31, 0.00289, 0.99926, 0.98433, 0.02041, 0,
 32, 0.00285, 0.99889, 0.98100, 0.02041, 0,
 33, 0.00316, 0.99889, 0.98433, 0.02041, 0,
 34, 0.00391, 0.99870, 0.97933, 0.02041, 0,
 35, 0.00313, 0.99889, 0.94067, 0.02041, 0,
 36, 0.00254, 0.99926, 0.98133, 0.02041, 0,
 37, 0.00373, 0.99851, 0.98200, 0.02041, 0,
 38, 0.00182, 0.99926, 0.96833, 0.02041, 0,
 39, 0.00265, 0.99907, 0.21600, 0.00000, 0,
 40, 0.00255, 0.99944, 0.97867, 0.02041, 0,
 41, 0.00338, 0.99870, 0.20000, 1.00000, 0,
 42, 0.00201, 0.99944, 0.97733, 0.02041, 0,
 43, 0.00155, 0.99963, 0.98100, 0.02041, 0,
 44, 0.00246, 0.99907, 0.20433, 0.00000, 0,
 45, 0.00191, 0.99963, 0.97167, 0.02041, 0,
 46, 0.00208, 0.99926, 0.97700, 0.02041, 0,
 47, 0.00187, 0.99926, 0.98267, 0.02041, 0,
 48, 0.00221, 0.99907, 0.98467, 0.00000, 0,
 49, 0.00186, 0.99944, 0.98233, 0.02041, 0,
