epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00827, 0.99795, 0.98400, 0.02041, 1,
  1, 0.07659, 0.97601, 0.98600, 0.02041, 1,
  2, 0.04371, 0.98698, 0.72667, 0.00000, 0,
  3, 0.02637, 0.99200, 0.98467, 0.02041, 0,
  4, 0.02256, 0.99293, 0.47833, 0.00000, 0,
  5, 0.03354, 0.99014, 0.97633, 0.02041, 0,
  6, 0.02448, 0.99386, 0.86533, 0.02041, 0,
  7, 0.01228, 0.99721, 0.98067, 0.02041, 0,
  8, 0.01886, 0.99442, 0.94667, 0.00000, 0,
  9, 0.02185, 0.99516, 0.98533, 0.00000, 0,
 10, 0.00953, 0.99721, 0.98400, 0.02041, 0,
 11, 0.01868, 0.99609, 0.98400, 0.00000, 0,
 12, 0.00980, 0.99814, 0.20000, 0.00000, 0,
 13, 0.01216, 0.99702, 0.98233, 0.02041, 0,
 14, 0.00446, 0.99888, 0.97600, 0.02041, 0,
 15, 0.01440, 0.99572, 0.98033, 0.00000, 0,
 16, 0.00946, 0.99777, 0.25500, 0.00000, 0,
 17, 0.01072, 0.99740, 0.97967, 0.02041, 0,
 18, 0.01001, 0.99721, 0.20000, 0.00000, 0,
 19, 0.00933, 0.99740, 0.97933, 0.02041, 0,
 20, 0.00556, 0.99870, 0.92400, 0.00000, 0,
 21, 0.00682, 0.99833, 0.98233, 0.02041, 0,
 22, 0.00473, 0.99870, 0.97200, 0.02041, 0,
 23, 0.00531, 0.99851, 0.98000, 0.02041, 0,
 24, 0.00592, 0.99814, 0.98033, 0.02041, 0,
 25, 0.00518, 0.99851, 0.98600, 0.02041, 0,
 26, 0.00407, 0.99870, 0.97400, 0.02041, 0,
 27, 0.00513, 0.99888, 0.98367, 0.02041, 0,
 28, 0.00492, 0.99888, 0.98100, 0.02041, 0,
 29, 0.00453, 0.99907, 0.98733, 0.00000, 1,
 30, 0.00476, 0.99851, 0.98700, 0.00000, 0,
 31, 0.00369, 0.99888, 0.98367, 0.00000, 0,
 32, 0.00343, 0.99907, 0.98100, 0.02041, 0,
 33, 0.00358, 0.99888, 0.98167, 0.02041, 0,
 34, 0.00390, 0.99851, 0.98533, 0.02041, 0,
 35, 0.00385, 0.99870, 0.98267, 0.02041, 0,
 36, 0.00327, 0.99888, 0.98533, 0.02041, 0,
 37, 0.00374, 0.99907, 0.97900, 0.02041, 0,
 38, 0.00258, 0.99907, 0.98333, 0.02041, 0,
 39, 0.00252, 0.99926, 0.98333, 0.02041, 0,
 40, 0.00234, 0.99926, 0.98367, 0.02041, 0,
 41, 0.00341, 0.99926, 0.98633, 0.02041, 0,
 42, 0.00314, 0.99944, 0.98300, 0.02041, 0,
 43, 0.00301, 0.99926, 0.98600, 0.02041, 0,
 44, 0.00319, 0.99907, 0.98367, 0.02041, 0,
 45, 0.00378, 0.99870, 0.98267, 0.02041, 0,
 46, 0.00287, 0.99888, 0.98333, 0.02041, 0,
 47, 0.00202, 0.99926, 0.98133, 0.02041, 0,
 48, 0.00270, 0.99907, 0.98067, 0.02041, 0,
 49, 0.00329, 0.99907, 0.98333, 0.02041, 0,
