epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.02147, 0.99516, 0.95467, 0.02041, 1,
  1, 0.08786, 0.97542, 0.90633, 0.02041, 0,
  2, 0.05485, 0.98343, 0.98267, 0.02041, 1,
  3, 0.05837, 0.98138, 0.96167, 0.00000, 0,
  4, 0.04004, 0.98753, 0.95567, 0.02041, 0,
  5, 0.03758, 0.98734, 0.97767, 0.00000, 0,
  6, 0.02157, 0.99423, 0.31933, 0.00000, 0,
  7, 0.02742, 0.99144, 0.97333, 0.02041, 0,
  8, 0.02743, 0.99292, 0.96633, 0.02041, 0,
  9, 0.02251, 0.99255, 0.97267, 0.02041, 0,
 10, 0.01948, 0.99553, 0.98333, 0.02041, 1,
 11, 0.02048, 0.99441, 0.97967, 0.00000, 0,
 12, 0.01847, 0.99460, 0.97600, 0.02041, 0,
 13, 0.01664, 0.99516, 0.97600, 0.02041, 0,
 14, 0.01071, 0.99758, 0.93867, 0.00000, 0,
 15, 0.01970, 0.99423, 0.20000, 0.00000, 0,
 16, 0.01237, 0.99590, 0.97500, 0.02041, 0,
 17, 0.00809, 0.99795, 0.97267, 0.02041, 0,
 18, 0.00768, 0.99795, 0.37067, 0.00000, 0,
 19, 0.01099, 0.99758, 0.95900, 0.02041, 0,
 20, 0.01114, 0.99758, 0.97233, 0.02041, 0,
 21, 0.00602, 0.99907, 0.95533, 0.02041, 0,
 22, 0.00875, 0.99814, 0.98067, 0.02041, 0,
 23, 0.00818, 0.99814, 0.97200, 0.02041, 0,
 24, 0.00653, 0.99851, 0.97267, 0.02041, 0,
 25, 0.00571, 0.99888, 0.97767, 0.02041, 0,
 26, 0.00558, 0.99832, 0.97933, 0.02041, 0,
 27, 0.00507, 0.99926, 0.98033, 0.02041, 0,
 28, 0.00606, 0.99907, 0.97767, 0.02041, 0,
 29, 0.00678, 0.99814, 0.97867, 0.02041, 0,
 30, 0.00533, 0.99851, 0.97800, 0.02041, 0,
 31, 0.00539, 0.99832, 0.97500, 0.02041, 0,
 32, 0.00367, 0.99907, 0.98267, 0.02041, 0,
 33, 0.00333, 0.99926, 0.98000, 0.02041, 0,
 34, 0.00375, 0.99926, 0.98067, 0.02041, 0,
 35, 0.00432, 0.99888, 0.97500, 0.02041, 0,
 36, 0.00427, 0.99870, 0.97600, 0.02041, 0,
 37, 0.00514, 0.99888, 0.20000, 0.00000, 0,
 38, 0.00465, 0.99870, 0.20000, 0.00000, 0,
 39, 0.00312, 0.99888, 0.97633, 0.02041, 0,
 40, 0.00238, 0.99944, 0.97900, 0.02041, 0,
 41, 0.00430, 0.99926, 0.97967, 0.02041, 0,
 42, 0.00278, 0.99926, 0.97733, 0.02041, 0,
 43, 0.00290, 0.99944, 0.97567, 0.02041, 0,
 44, 0.00381, 0.99851, 0.97600, 0.02041, 0,
 45, 0.00316, 0.99888, 0.98033, 0.02041, 0,
 46, 0.00373, 0.99888, 0.98033, 0.02041, 0,
 47, 0.00225, 0.99926, 0.98133, 0.02041, 0,
 48, 0.00324, 0.99907, 0.97800, 0.02041, 0,
 49, 0.00260, 0.99907, 0.97633, 0.02041, 0,
