process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00000, 00000, 0.000003, 0.000036, 0.999771, 0.000140, 0.000049, 1, 1580248723.161466,
00004, 00004, 0.000002, 0.000029, 0.999839, 0.000090, 0.000040, 1, 1580248724.428718,
00002, 00002, 0.000002, 0.000029, 0.999860, 0.000073, 0.000036, 1, 1580248724.4901686,
00006, 00006, 0.000017, 0.000076, 0.984380, 0.012622, 0.002905, 1, 1580248724.6164343,
00012, 00012, 0.000003, 0.000030, 0.999721, 0.000169, 0.000077, 1, 1580248724.6182637,
00015, 00015, 0.000004, 0.000034, 0.999636, 0.000241, 0.000085, 1, 1580248724.90382,
00018, 00018, 0.000002, 0.000031, 0.999882, 0.000059, 0.000027, 1, 1580248725.0295777,
00013, 00013, 0.000005, 0.000031, 0.999216, 0.000496, 0.000252, 1, 1580248725.1360114,
00010, 00010, 0.000005, 0.000034, 0.999563, 0.000290, 0.000109, 1, 1580248725.153495,
00001, 00001, 0.000029, 0.000121, 0.966421, 0.028462, 0.004967, 1, 1580248725.5267758,
00025, 00025, 0.000003, 0.000041, 0.999679, 0.000187, 0.000089, 1, 1580248725.5611591,
00007, 00007, 0.000002, 0.000036, 0.999907, 0.000039, 0.000017, 1, 1580248725.5691128,
00003, 00003, 0.000006, 0.000036, 0.999164, 0.000576, 0.000218, 1, 1580248725.802059,
00016, 00016, 0.000004, 0.000030, 0.999588, 0.000253, 0.000125, 1, 1580248725.9071712,
00029, 00029, 0.000004, 0.000041, 0.999876, 0.000059, 0.000021, 1, 1580248726.2818537,
00011, 00011, 0.000002, 0.000031, 0.999857, 0.000074, 0.000035, 1, 1580248726.4708877,
00005, 00005, 0.000002, 0.000029, 0.999887, 0.000054, 0.000028, 1, 1580248726.6730654,
00017, 00017, 0.000003, 0.000032, 0.999855, 0.000081, 0.000029, 1, 1580248726.6857662,
00019, 00019, 0.000007, 0.000044, 0.998714, 0.000959, 0.000277, 1, 1580248726.7273974,
00008, 00008, 0.000003, 0.000033, 0.999851, 0.000083, 0.000030, 1, 1580248726.740157,
00027, 00027, 0.000010, 0.000061, 0.998885, 0.000828, 0.000217, 1, 1580248726.8038135,
00026, 00026, 0.000005, 0.000038, 0.999301, 0.000479, 0.000177, 1, 1580248726.8124838,
00021, 00021, 0.000002, 0.000036, 0.999871, 0.000066, 0.000025, 1, 1580248727.2234225,
00009, 00009, 0.000002, 0.000038, 0.999880, 0.000059, 0.000022, 1, 1580248727.5099869,
00024, 00024, 0.000003, 0.000033, 0.999871, 0.000069, 0.000024, 1, 1580248727.610361,
00022, 00022, 0.000002, 0.000042, 0.999844, 0.000082, 0.000030, 1, 1580248727.7791667,
00023, 00023, 0.000006, 0.000042, 0.998767, 0.000890, 0.000296, 1, 1580248728.5491703,
00020, 00020, 0.000002, 0.000036, 0.999854, 0.000073, 0.000035, 1, 1580248728.8979957,
00014, 00014, 0.000011, 0.004966, 0.994911, 0.000082, 0.000030, 1, 1580248729.1378872,
00028, 00028, 0.000002, 0.000162, 0.999797, 0.000031, 0.000009, 1, 1580248730.9140103,
00053, 00053, 0.000001, 0.000051, 0.999914, 0.000025, 0.000009, 1, 1580248734.2957027,
00051, 00051, 0.000005, 0.000036, 0.999617, 0.000258, 0.000084, 1, 1580248734.7593367,
00032, 00032, 0.000002, 0.000043, 0.999918, 0.000027, 0.000010, 1, 1580248735.0075538,
00056, 00056, 0.000002, 0.000031, 0.999834, 0.000092, 0.000040, 1, 1580248735.1306307,
00044, 00044, 0.000004, 0.000036, 0.999808, 0.000113, 0.000039, 1, 1580248735.131197,
00055, 00055, 0.000015, 0.999553, 0.000391, 0.000031, 0.000010, 0, 1580248735.2592087,
00036, 00036, 0.000002, 0.000042, 0.999863, 0.000064, 0.000029, 1, 1580248735.2817516,
00058, 00058, 0.000006, 0.000039, 0.998889, 0.000783, 0.000282, 1, 1580248735.3397143,
00042, 00042, 0.000002, 0.000033, 0.999884, 0.000061, 0.000020, 1, 1580248735.3707874,
00054, 00054, 0.000002, 0.000031, 0.999888, 0.000056, 0.000022, 1, 1580248735.3877938,
00059, 00059, 0.000003, 0.000031, 0.999814, 0.000110, 0.000042, 1, 1580248735.402547,
00048, 00048, 0.000002, 0.000031, 0.999886, 0.000059, 0.000022, 1, 1580248735.45845,
00057, 00057, 0.000003, 0.000039, 0.999881, 0.000060, 0.000018, 1, 1580248735.675523,
00052, 00052, 0.000003, 0.000030, 0.999760, 0.000141, 0.000065, 1, 1580248735.680708,
00049, 00049, 0.000002, 0.000036, 0.999914, 0.000030, 0.000018, 1, 1580248735.7353578,
00043, 00043, 0.000001, 0.000037, 0.999914, 0.000031, 0.000015, 1, 1580248736.1035998,
00031, 00031, 0.000006, 0.000043, 0.998904, 0.000777, 0.000271, 1, 1580248736.1663423,
00037, 00037, 0.000003, 0.000033, 0.999676, 0.000182, 0.000105, 1, 1580248736.2157414,
00038, 00038, 0.000002, 0.000032, 0.999869, 0.000072, 0.000025, 1, 1580248736.252978,
00030, 00030, 0.000002, 0.000045, 0.999880, 0.000051, 0.000022, 1, 1580248736.413316,
00033, 00033, 0.000010, 0.000042, 0.998349, 0.001193, 0.000406, 1, 1580248736.4360163,
00039, 00039, 0.000004, 0.000047, 0.999779, 0.000131, 0.000039, 1, 1580248736.441219,
