process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00000, 00000, 0.000005, 0.000039, 0.999602, 0.000274, 0.000080, 1, 1575502535.0691178,
00001, 00001, 0.000004, 0.000032, 0.999674, 0.000210, 0.000081, 1, 1575502538.8081372,
00002, 00002, 0.000002, 0.000032, 0.999854, 0.000081, 0.000030, 1, 1575502541.1779392,
00003, 00003, 0.000002, 0.000035, 0.999856, 0.000074, 0.000033, 1, 1575502546.02263,
00004, 00004, 0.000002, 0.000027, 0.999859, 0.000075, 0.000036, 1, 1575502549.9573903,
00005, 00005, 0.000007, 0.000038, 0.998853, 0.000798, 0.000305, 1, 1575502554.215574,
00006, 00006, 0.000003, 0.000029, 0.999619, 0.000230, 0.000118, 1, 1575502560.184037,
00007, 00007, 0.000003, 0.000033, 0.999777, 0.000140, 0.000047, 1, 1575502563.4337995,
00008, 00008, 0.000005, 0.000037, 0.999328, 0.000447, 0.000182, 1, 1575502566.7498665,
00009, 00009, 0.000008, 0.000048, 0.999565, 0.000290, 0.000090, 1, 1575502569.850973,
00010, 00010, 0.000010, 0.000050, 0.999121, 0.000635, 0.000184, 1, 1575502574.3558645,
00011, 00011, 0.000001, 0.000042, 0.999912, 0.000029, 0.000016, 1, 1575502579.427534,
00012, 00012, 0.000002, 0.000032, 0.999841, 0.000089, 0.000036, 1, 1575502583.4971519,
00013, 00013, 0.000002, 0.000036, 0.999895, 0.000047, 0.000020, 1, 1575502588.003662,
00014, 00014, 0.000004, 0.000034, 0.999586, 0.000276, 0.000100, 1, 1575502591.9091046,
00015, 00015, 0.000002, 0.000029, 0.999868, 0.000066, 0.000034, 1, 1575502595.0473692,
00016, 00016, 0.000002, 0.000039, 0.999907, 0.000040, 0.000013, 1, 1575502605.4884825,
00017, 00017, 0.000003, 0.000031, 0.999826, 0.000102, 0.000038, 1, 1575502608.8895488,
00018, 00018, 0.000004, 0.000034, 0.999654, 0.000232, 0.000075, 1, 1575502612.7065554,
00019, 00019, 0.000002, 0.000032, 0.999909, 0.000038, 0.000020, 1, 1575502618.7779667,
00020, 00020, 0.000002, 0.000033, 0.999833, 0.000099, 0.000033, 1, 1575502622.5972502,
00021, 00021, 0.000004, 0.000034, 0.999805, 0.000118, 0.000039, 1, 1575502627.0808446,
00022, 00022, 0.000001, 0.000060, 0.999908, 0.000021, 0.000009, 1, 1575502630.3282082,
00023, 00023, 0.000002, 0.000043, 0.999877, 0.000058, 0.000021, 1, 1575502637.2298665,
00024, 00024, 0.000004, 0.000032, 0.999782, 0.000127, 0.000056, 1, 1575502642.106352,
00025, 00025, 0.000002, 0.000035, 0.999886, 0.000049, 0.000028, 1, 1575502646.6020997,
00026, 00026, 0.000004, 0.000035, 0.999573, 0.000289, 0.000099, 1, 1575502653.030774,
00027, 00027, 0.000014, 0.000052, 0.994507, 0.004168, 0.001259, 1, 1575502656.9720058,
00028, 00028, 0.000005, 0.000034, 0.999566, 0.000293, 0.000103, 1, 1575502660.832355,
00029, 00029, 0.000006, 0.000040, 0.998813, 0.000845, 0.000296, 1, 1575502665.3242085,
00030, 00030, 0.000007, 0.000038, 0.998894, 0.000770, 0.000292, 1, 1575502669.225517,
00031, 00031, 0.000006, 0.000036, 0.999058, 0.000647, 0.000252, 1, 1575502673.341125,
00032, 00032, 0.000001, 0.000048, 0.999915, 0.000025, 0.000011, 1, 1575502676.4625354,
00033, 00033, 0.000003, 0.000038, 0.999897, 0.000047, 0.000016, 1, 1575502681.392576,
00034, 00034, 0.000001, 0.000038, 0.999913, 0.000033, 0.000014, 1, 1575502685.4865081,
00035, 00035, 0.000002, 0.000030, 0.999850, 0.000082, 0.000037, 1, 1575502689.2710857,
00036, 00036, 0.000002, 0.000031, 0.999895, 0.000051, 0.000021, 1, 1575502694.1972845,
00037, 00037, 0.000002, 0.000030, 0.999847, 0.000086, 0.000034, 1, 1575502700.0203574,
00038, 00038, 0.000007, 0.001919, 0.998002, 0.000051, 0.000021, 1, 1575502705.2552545,
00039, 00039, 0.000002, 0.000050, 0.999912, 0.000028, 0.000009, 1, 1575502709.7343562,
00040, 00040, 0.000011, 0.000050, 0.996369, 0.002766, 0.000803, 1, 1575502713.5802112,
00041, 00041, 0.000008, 0.000046, 0.997704, 0.001667, 0.000575, 1, 1575502717.7091386,
00042, 00042, 0.000007, 0.000041, 0.998463, 0.001098, 0.000391, 1, 1575502721.7505162,
00043, 00043, 0.000003, 0.000030, 0.999850, 0.000084, 0.000033, 1, 1575502727.3716547,
00044, 00044, 0.000030, 0.000369, 0.967208, 0.032199, 0.000195, 1, 1575502731.853955,
00045, 00045, 0.000003, 0.000033, 0.999805, 0.000120, 0.000039, 1, 1575502737.4418051,
00046, 00046, 0.000006, 0.000043, 0.999767, 0.000139, 0.000045, 1, 1575502741.783172,
00047, 00047, 0.000002, 0.000044, 0.999817, 0.000086, 0.000050, 1, 1575502745.9920402,
00048, 00048, 0.000005, 0.000044, 0.999288, 0.000465, 0.000197, 1, 1575502752.3181875,
00049, 00049, 0.000002, 0.000036, 0.999811, 0.000094, 0.000057, 1, 1575502757.4040687,
00050, 00050, 0.000002, 0.000114, 0.999853, 0.000020, 0.000011, 1, 1575502762.518529,
00051, 00051, 0.000002, 0.000083, 0.999883, 0.000020, 0.000012, 1, 1575502768.4510765,
00052, 00052, 0.000007, 0.000699, 0.979350, 0.019622, 0.000322, 1, 1575502774.0188708,
00053, 00053, 0.000045, 0.000146, 0.973451, 0.024967, 0.001391, 1, 1575502779.2650938,
00054, 00054, 0.000007, 0.000625, 0.979867, 0.019174, 0.000327, 1, 1575502785.2730322,
00055, 00055, 0.000002, 0.000060, 0.999885, 0.000036, 0.000017, 1, 1575502790.9532201,
00056, 00056, 0.000002, 0.000081, 0.999827, 0.000058, 0.000031, 1, 1575502796.3971279,
00057, 00057, 0.000002, 0.000083, 0.999857, 0.000040, 0.000018, 1, 1575502802.0419579,
00058, 00058, 0.000002, 0.000040, 0.999908, 0.000031, 0.000019, 1, 1575502805.9283178,
00059, 00059, 0.000002, 0.000045, 0.999839, 0.000072, 0.000042, 1, 1575502812.284552,
00060, 00060, 0.000003, 0.000233, 0.999727, 0.000025, 0.000013, 1, 1575502817.6048617,
00061, 00061, 0.000002, 0.000038, 0.999910, 0.000035, 0.000015, 1, 1575502822.1455286,
00062, 00062, 0.000004, 0.000044, 0.999876, 0.000057, 0.000018, 1, 1575502826.2628975,
00063, 00063, 0.000002, 0.000031, 0.999836, 0.000086, 0.000044, 1, 1575502831.5135546,
00064, 00064, 0.000002, 0.000046, 0.999900, 0.000032, 0.000020, 1, 1575502836.8851254,
00065, 00065, 0.000002, 0.000047, 0.999898, 0.000034, 0.000019, 1, 1575502842.6765594,
00066, 00066, 0.000003, 0.000038, 0.999758, 0.000128, 0.000074, 1, 1575502847.9030926,
00067, 00067, 0.000003, 0.000034, 0.999837, 0.000097, 0.000029, 1, 1575502854.9875178,
00068, 00068, 0.000003, 0.000032, 0.999828, 0.000099, 0.000038, 1, 1575502859.866977,
00069, 00069, 0.000004, 0.000084, 0.999748, 0.000112, 0.000053, 1, 1575502865.8430974,
00070, 00070, 0.000002, 0.000058, 0.999883, 0.000036, 0.000022, 1, 1575502874.070571,
00071, 00071, 0.000004, 0.000085, 0.999632, 0.000226, 0.000052, 1, 1575502881.1734798,
00072, 00072, 0.000002, 0.000037, 0.999887, 0.000045, 0.000029, 1, 1575502888.7818732,
00073, 00073, 0.000002, 0.000062, 0.999889, 0.000030, 0.000018, 1, 1575502894.6843104,
00074, 00074, 0.000003, 0.000035, 0.999784, 0.000112, 0.000067, 1, 1575502900.3311741,
