epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00931, 0.99742, 0.27100, 0.44361, 1,
  1, 0.11385, 0.96715, 0.50933, 0.50376, 1,
  2, 0.06183, 0.98265, 0.20000, 1.00000, 0,
  3, 0.05138, 0.98523, 0.20000, 1.00000, 0,
  4, 0.03400, 0.99022, 0.97667, 0.72180, 1,
  5, 0.03562, 0.98911, 0.95267, 0.36090, 0,
  6, 0.03077, 0.99003, 0.20000, 0.00000, 0,
  7, 0.02791, 0.99114, 0.97867, 0.78947, 1,
  8, 0.02350, 0.99428, 0.91500, 0.67669, 0,
  9, 0.02922, 0.99114, 0.97900, 0.78947, 1,
 10, 0.02743, 0.99096, 0.96767, 0.65414, 0,
 11, 0.01307, 0.99649, 0.89633, 0.48872, 0,
 12, 0.01900, 0.99446, 0.95333, 0.67669, 0,
 13, 0.00807, 0.99797, 0.98567, 0.78195, 1,
 14, 0.01506, 0.99539, 0.65433, 0.29323, 0,
 15, 0.01379, 0.99668, 0.97900, 0.78195, 0,
 16, 0.00444, 0.99908, 0.97767, 0.75940, 0,
 17, 0.01047, 0.99705, 0.97533, 0.74436, 0,
 18, 0.00714, 0.99852, 0.97767, 0.76692, 0,
 19, 0.01198, 0.99631, 0.97933, 0.82707, 0,
 20, 0.00978, 0.99760, 0.98367, 0.57895, 0,
 21, 0.00622, 0.99871, 0.98200, 0.74436, 0,
 22, 0.00979, 0.99779, 0.98400, 0.85714, 0,
 23, 0.00653, 0.99834, 0.98300, 0.77444, 0,
 24, 0.00622, 0.99834, 0.97033, 0.64662, 0,
 25, 0.00642, 0.99779, 0.97667, 0.76692, 0,
 26, 0.00552, 0.99834, 0.97800, 0.81955, 0,
 27, 0.00414, 0.99889, 0.20000, 0.00000, 0,
 28, 0.00557, 0.99871, 0.98233, 0.75188, 0,
 29, 0.00410, 0.99908, 0.97933, 0.72932, 0,
 30, 0.00386, 0.99871, 0.96767, 0.69173, 0,
 31, 0.00440, 0.99871, 0.97800, 0.80451, 0,
 32, 0.00465, 0.99852, 0.98633, 0.77444, 1,
 33, 0.00365, 0.99945, 0.98267, 0.79699, 0,
 34, 0.00220, 0.99926, 0.97133, 0.75940, 0,
 35, 0.00577, 0.99871, 0.98433, 0.78947, 0,
 36, 0.00361, 0.99926, 0.98100, 0.80451, 0,
 37, 0.00293, 0.99908, 0.97933, 0.77444, 0,
 38, 0.00254, 0.99945, 0.98067, 0.79699, 0,
 39, 0.00334, 0.99908, 0.97833, 0.71429, 0,
 40, 0.00486, 0.99871, 0.97767, 0.74436, 0,
 41, 0.00373, 0.99852, 0.97367, 0.75940, 0,
 42, 0.00239, 0.99963, 0.97967, 0.76692, 0,
 43, 0.00308, 0.99908, 0.97700, 0.73684, 0,
 44, 0.00189, 0.99945, 0.97233, 0.73684, 0,
 45, 0.00261, 0.99908, 0.98533, 0.78195, 0,
 46, 0.00416, 0.99889, 0.97567, 0.76692, 0,
 47, 0.00343, 0.99889, 0.97900, 0.73684, 0,
 48, 0.00296, 0.99908, 0.98333, 0.74436, 0,
 49, 0.00271, 0.99908, 0.98233, 0.77444, 0,
