process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
10450, 10450, 0.000029, 0.000027, 0.999203, 0.000054, 0.000687, 1, 1575636682.6988251,
10442, 10442, 0.000011, 0.000032, 0.999821, 0.000017, 0.000119, 1, 1575636683.3841417,
10467, 10467, 0.000015, 0.000036, 0.999831, 0.000014, 0.000104, 1, 1575636683.7213705,
10455, 10455, 0.000007, 0.000066, 0.999902, 0.000005, 0.000021, 1, 1575636684.083973,
10447, 10447, 0.000025, 0.000032, 0.999419, 0.000044, 0.000480, 1, 1575636684.359971,
10441, 10441, 0.000007, 0.000033, 0.999899, 0.000008, 0.000052, 1, 1575636684.3605802,
10453, 10453, 0.000055, 0.000033, 0.997438, 0.000141, 0.002334, 1, 1575636684.4825032,
10449, 10449, 0.000006, 0.000034, 0.999918, 0.000006, 0.000036, 1, 1575636685.0116642,
10443, 10443, 0.000017, 0.000028, 0.999736, 0.000019, 0.000201, 1, 1575636685.054076,
10462, 10462, 0.000009, 0.000068, 0.999892, 0.000005, 0.000026, 1, 1575636685.130999,
10451, 10451, 0.000021, 0.000035, 0.999607, 0.000032, 0.000306, 1, 1575636685.4862416,
10446, 10446, 0.000006, 0.000056, 0.999902, 0.000006, 0.000030, 1, 1575636685.4924438,
10440, 10440, 0.000015, 0.000030, 0.999862, 0.000010, 0.000083, 1, 1575636685.5118713,
10456, 10456, 0.000034, 0.000036, 0.998839, 0.000094, 0.000998, 1, 1575636685.5138683,
10461, 10461, 0.000023, 0.000027, 0.999514, 0.000035, 0.000401, 1, 1575636685.6769261,
10458, 10458, 0.000007, 0.000040, 0.999902, 0.000008, 0.000043, 1, 1575636685.7864978,
10452, 10452, 0.000013, 0.000035, 0.999768, 0.000022, 0.000161, 1, 1575636685.8376524,
10460, 10460, 0.000016, 0.000062, 0.999872, 0.000007, 0.000042, 1, 1575636685.8860238,
10468, 10468, 0.000007, 0.000044, 0.999904, 0.000007, 0.000038, 1, 1575636685.9970498,
10457, 10457, 0.000010, 0.000070, 0.999880, 0.000007, 0.000033, 1, 1575636686.1105988,
10464, 10464, 0.000038, 0.000026, 0.998479, 0.000079, 0.001378, 1, 1575636686.411467,
