process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00001, 00001, 0.000006, 0.000044, 0.998572, 0.001067, 0.000311, 1, 1575605024.201454,
00010, 00010, 0.000002, 0.000029, 0.999870, 0.000065, 0.000034, 1, 1575605025.1695178,
00013, 00013, 0.000003, 0.000034, 0.999777, 0.000136, 0.000051, 1, 1575605025.224757,
00012, 00012, 0.000003, 0.000032, 0.999823, 0.000106, 0.000036, 1, 1575605025.4203875,
00002, 00002, 0.000002, 0.000032, 0.999907, 0.000041, 0.000018, 1, 1575605025.7593086,
00008, 00008, 0.000003, 0.000028, 0.999790, 0.000114, 0.000066, 1, 1575605025.7887075,
00004, 00004, 0.000002, 0.000033, 0.999887, 0.000055, 0.000023, 1, 1575605025.8940232,
00009, 00009, 0.000004, 0.000033, 0.999651, 0.000227, 0.000086, 1, 1575605026.2057734,
00027, 00027, 0.000002, 0.000031, 0.999853, 0.000084, 0.000030, 1, 1575605026.244113,
00016, 00016, 0.000015, 0.000055, 0.991700, 0.006306, 0.001924, 1, 1575605026.3707876,
00000, 00000, 0.000003, 0.000025, 0.999776, 0.000117, 0.000078, 1, 1575605026.4926825,
00025, 00025, 0.000003, 0.000033, 0.999738, 0.000165, 0.000061, 1, 1575605026.5996976,
00005, 00005, 0.000003, 0.000036, 0.999654, 0.000227, 0.000080, 1, 1575605026.765457,
00015, 00015, 0.000003, 0.000030, 0.999726, 0.000168, 0.000074, 1, 1575605026.7947602,
00007, 00007, 0.000001, 0.000109, 0.999858, 0.000023, 0.000008, 1, 1575605026.8153098,
00003, 00003, 0.000002, 0.000030, 0.999844, 0.000088, 0.000037, 1, 1575605026.9401493,
00019, 00019, 0.000002, 0.000031, 0.999885, 0.000059, 0.000023, 1, 1575605026.9450617,
00023, 00023, 0.000003, 0.000031, 0.999772, 0.000139, 0.000056, 1, 1575605027.0185587,
00018, 00018, 0.000009, 0.000050, 0.996786, 0.002422, 0.000733, 1, 1575605027.3271122,
00024, 00024, 0.000003, 0.000028, 0.999799, 0.000114, 0.000056, 1, 1575605027.4073174,
00028, 00028, 0.000006, 0.000032, 0.999585, 0.000251, 0.000126, 1, 1575605027.531508,
00022, 00022, 0.000002, 0.000033, 0.999871, 0.000069, 0.000024, 1, 1575605027.562587,
00021, 00021, 0.000003, 0.000032, 0.999766, 0.000144, 0.000054, 1, 1575605027.8125012,
00017, 00017, 0.000002, 0.000029, 0.999900, 0.000047, 0.000022, 1, 1575605027.84403,
00014, 00014, 0.000006, 0.000038, 0.998792, 0.000813, 0.000351, 1, 1575605027.996386,
00020, 00020, 0.000003, 0.000033, 0.999839, 0.000094, 0.000032, 1, 1575605028.3061056,
00029, 00029, 0.000002, 0.000028, 0.999887, 0.000055, 0.000028, 1, 1575605028.5503123,
00006, 00006, 0.000002, 0.000032, 0.999889, 0.000055, 0.000023, 1, 1575605028.5513802,
00011, 00011, 0.000002, 0.000030, 0.999830, 0.000096, 0.000041, 1, 1575605028.9508553,
00026, 00026, 0.000003, 0.000067, 0.999898, 0.000020, 0.000013, 1, 1575605029.9884481,
00030, 00030, 0.000001, 0.000052, 0.999913, 0.000025, 0.000009, 1, 1575605037.0924366,
00034, 00034, 0.000005, 0.000034, 0.999473, 0.000352, 0.000136, 1, 1575605037.260972,
00039, 00039, 0.000004, 0.000031, 0.999625, 0.000240, 0.000099, 1, 1575605037.3294325,
00031, 00031, 0.000002, 0.000037, 0.999919, 0.000029, 0.000013, 1, 1575605037.3943179,
00047, 00047, 0.000005, 0.000034, 0.999391, 0.000408, 0.000162, 1, 1575605037.4345682,
00036, 00036, 0.000005, 0.000031, 0.999516, 0.000311, 0.000137, 1, 1575605037.4446802,
00037, 00037, 0.000003, 0.000032, 0.999816, 0.000108, 0.000041, 1, 1575605037.4977157,
00033, 00033, 0.000003, 0.000026, 0.999745, 0.000143, 0.000083, 1, 1575605037.635567,
00035, 00035, 0.000004, 0.000037, 0.999807, 0.000116, 0.000036, 1, 1575605037.6681674,
00054, 00054, 0.000002, 0.000035, 0.999865, 0.000075, 0.000023, 1, 1575605037.7994428,
00038, 00038, 0.000004, 0.000030, 0.999642, 0.000222, 0.000103, 1, 1575605037.868242,
00041, 00041, 0.000002, 0.000034, 0.999894, 0.000051, 0.000020, 1, 1575605037.9338164,
00051, 00051, 0.000005, 0.000036, 0.999326, 0.000445, 0.000189, 1, 1575605038.2094147,
00040, 00040, 0.000001, 0.000042, 0.999913, 0.000029, 0.000015, 1, 1575605038.4912004,
00032, 00032, 0.000003, 0.000035, 0.999802, 0.000115, 0.000046, 1, 1575605038.6025035,
00053, 00053, 0.000005, 0.000032, 0.999365, 0.000409, 0.000190, 1, 1575605038.6089334,
00043, 00043, 0.000003, 0.000029, 0.999663, 0.000203, 0.000101, 1, 1575605038.693207,
00049, 00049, 0.000003, 0.000031, 0.999774, 0.000138, 0.000054, 1, 1575605038.7485423,
00044, 00044, 0.000002, 0.000061, 0.999909, 0.000020, 0.000008, 1, 1575605038.7981277,
00059, 00059, 0.000004, 0.000030, 0.999558, 0.000258, 0.000151, 1, 1575605038.8418503,
00048, 00048, 0.000003, 0.000031, 0.999743, 0.000157, 0.000066, 1, 1575605038.921105,
00046, 00046, 0.000008, 0.000045, 0.998043, 0.001453, 0.000451, 1, 1575605039.060918,
00057, 00057, 0.000001, 0.000047, 0.999913, 0.000029, 0.000010, 1, 1575605039.0703788,
00045, 00045, 0.000004, 0.000033, 0.999714, 0.000184, 0.000065, 1, 1575605039.0710087,
00052, 00052, 0.000003, 0.000031, 0.999801, 0.000119, 0.000046, 1, 1575605039.5445762,
00058, 00058, 0.000002, 0.000029, 0.999871, 0.000062, 0.000035, 1, 1575605039.9222581,
00042, 00042, 0.000002, 0.000032, 0.999848, 0.000087, 0.000031, 1, 1575605040.1415718,
00056, 00056, 0.000003, 0.000028, 0.999760, 0.000139, 0.000070, 1, 1575605040.3834562,
00055, 00055, 0.000003, 0.000033, 0.999809, 0.000115, 0.000040, 1, 1575605041.7823336,
00050, 00050, 0.000008, 0.000036, 0.998607, 0.000944, 0.000405, 1, 1575605041.9507322,
00060, 00060, 0.000004, 0.000035, 0.999360, 0.000412, 0.000188, 1, 1575605048.6555946,
00061, 00061, 0.000004, 0.000036, 0.999821, 0.000101, 0.000037, 1, 1575605048.7263038,
00063, 00063, 0.000002, 0.000029, 0.999869, 0.000068, 0.000032, 1, 1575605049.0083885,
00067, 00067, 0.000002, 0.000029, 0.999890, 0.000052, 0.000026, 1, 1575605049.0094843,
00066, 00066, 0.000004, 0.000029, 0.999611, 0.000238, 0.000117, 1, 1575605049.6808069,
00071, 00071, 0.000003, 0.000030, 0.999798, 0.000118, 0.000050, 1, 1575605049.900561,
00065, 00065, 0.000002, 0.000031, 0.999893, 0.000047, 0.000027, 1, 1575605050.4622533,
00072, 00072, 0.000001, 0.000050, 0.999915, 0.000024, 0.000010, 1, 1575605050.5153022,
00070, 00070, 0.000001, 0.000051, 0.999906, 0.000031, 0.000010, 1, 1575605050.6329315,
00062, 00062, 0.000007, 0.000041, 0.998623, 0.000993, 0.000336, 1, 1575605051.0291793,
00086, 00086, 0.000004, 0.000030, 0.999551, 0.000278, 0.000138, 1, 1575605051.5444267,
00085, 00085, 0.000006, 0.000034, 0.998984, 0.000674, 0.000302, 1, 1575605051.5496733,
00083, 00083, 0.000002, 0.000030, 0.999841, 0.000089, 0.000037, 1, 1575605051.6183715,
00075, 00075, 0.000006, 0.000035, 0.998874, 0.000750, 0.000335, 1, 1575605051.7721741,
00077, 00077, 0.000001, 0.000041, 0.999914, 0.000029, 0.000015, 1, 1575605051.961831,
00089, 00089, 0.000002, 0.000037, 0.999887, 0.000056, 0.000018, 1, 1575605052.019638,
00081, 00081, 0.000001, 0.000046, 0.999913, 0.000029, 0.000010, 1, 1575605052.1841917,
00084, 00084, 0.000003, 0.000033, 0.999782, 0.000135, 0.000046, 1, 1575605052.3381758,
00079, 00079, 0.000003, 0.000039, 0.999658, 0.000229, 0.000070, 1, 1575605052.3706217,
00076, 00076, 0.000004, 0.000034, 0.999538, 0.000312, 0.000111, 1, 1575605052.4112184,
00078, 00078, 0.000005, 0.000031, 0.999508, 0.000312, 0.000143, 1, 1575605052.4164145,
00064, 00064, 0.000003, 0.000035, 0.999817, 0.000112, 0.000033, 1, 1575605052.925285,
00080, 00080, 0.000002, 0.000033, 0.999897, 0.000050, 0.000018, 1, 1575605053.1876042,
00073, 00073, 0.000002, 0.000035, 0.999864, 0.000073, 0.000026, 1, 1575605053.5004034,
00074, 00074, 0.000002, 0.000041, 0.999916, 0.000030, 0.000011, 1, 1575605053.6452503,
00087, 00087, 0.000002, 0.000028, 0.999846, 0.000083, 0.000041, 1, 1575605053.6995544,
00088, 00088, 0.000004, 0.000032, 0.999836, 0.000085, 0.000042, 1, 1575605053.8886027,
00068, 00068, 0.000009, 0.000040, 0.997352, 0.001820, 0.000779, 1, 1575605054.1432974,
00069, 00069, 0.000002, 0.000036, 0.999869, 0.000058, 0.000034, 1, 1575605054.3233001,
00082, 00082, 0.000002, 0.000161, 0.999807, 0.000019, 0.000010, 1, 1575605057.5983157,
00092, 00092, 0.000004, 0.000032, 0.999604, 0.000257, 0.000103, 1, 1575605063.851571,
00091, 00091, 0.000003, 0.000028, 0.999723, 0.000164, 0.000082, 1, 1575605063.922409,
00093, 00093, 0.000003, 0.000030, 0.999794, 0.000122, 0.000051, 1, 1575605064.0042322,
00097, 00097, 0.000003, 0.000033, 0.999804, 0.000120, 0.000040, 1, 1575605064.5055273,
