epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00590, 0.99851, 0.97300, 0.51128, 1,
  1, 0.16388, 0.94320, 0.89533, 0.48872, 0,
  2, 0.08918, 0.97449, 0.97400, 0.57143, 0,
  3, 0.08770, 0.97226, 0.23700, 0.36090, 0,
  4, 0.07293, 0.97710, 0.86467, 0.45865, 0,
  5, 0.05757, 0.98213, 0.98500, 0.39850, 1,
  6, 0.07313, 0.97952, 0.97567, 0.54887, 0,
  7, 0.04653, 0.98604, 0.97400, 0.45865, 0,
  8, 0.04679, 0.98566, 0.93733, 0.48120, 0,
  9, 0.03906, 0.98883, 0.22767, 0.28571, 0,
 10, 0.02619, 0.99237, 0.32200, 0.96241, 0,
 11, 0.02928, 0.99162, 0.86967, 0.48120, 0,
 12, 0.03548, 0.99106, 0.97567, 0.44361, 0,
 13, 0.01903, 0.99423, 0.97067, 0.50376, 0,
 14, 0.02332, 0.99367, 0.97567, 0.52632, 0,
 15, 0.01665, 0.99386, 0.97533, 0.46617, 0,
 16, 0.01836, 0.99516, 0.97333, 0.48872, 0,
 17, 0.01674, 0.99590, 0.98533, 0.45865, 1,
 18, 0.01667, 0.99572, 0.97633, 0.68421, 0,
 19, 0.01297, 0.99739, 0.98033, 0.59398, 0,
 20, 0.01475, 0.99516, 0.97867, 0.51128, 0,
 21, 0.01238, 0.99702, 0.97733, 0.48120, 0,
 22, 0.01311, 0.99683, 0.97133, 0.51880, 0,
 23, 0.01116, 0.99665, 0.97833, 0.55639, 0,
 24, 0.00652, 0.99851, 0.20000, 0.00000, 0,
 25, 0.01010, 0.99702, 0.96933, 0.49624, 0,
 26, 0.00875, 0.99814, 0.97967, 0.51128, 0,
 27, 0.00485, 0.99851, 0.97700, 0.61654, 0,
 28, 0.00842, 0.99795, 0.98100, 0.53383, 0,
 29, 0.00540, 0.99851, 0.97700, 0.55639, 0,
 30, 0.00720, 0.99777, 0.98300, 0.51128, 0,
 31, 0.00633, 0.99870, 0.98167, 0.51880, 0,
 32, 0.00468, 0.99907, 0.96700, 0.49624, 0,
 33, 0.00433, 0.99926, 0.97467, 0.49624, 0,
 34, 0.00426, 0.99907, 0.97433, 0.48872, 0,
 35, 0.00702, 0.99832, 0.97900, 0.51880, 0,
 36, 0.00401, 0.99888, 0.96967, 0.50376, 0,
 37, 0.00353, 0.99926, 0.97733, 0.49624, 0,
 38, 0.00534, 0.99832, 0.97600, 0.52632, 0,
 39, 0.00457, 0.99870, 0.97033, 0.50376, 0,
 40, 0.00408, 0.99926, 0.98267, 0.50376, 0,
 41, 0.00414, 0.99870, 0.97867, 0.56391, 0,
 42, 0.00514, 0.99832, 0.97300, 0.51128, 0,
 43, 0.00364, 0.99870, 0.98000, 0.57895, 0,
 44, 0.00453, 0.99832, 0.97633, 0.57895, 0,
 45, 0.00290, 0.99888, 0.97933, 0.61654, 0,
 46, 0.00409, 0.99888, 0.97900, 0.51880, 0,
 47, 0.00321, 0.99888, 0.97567, 0.54887, 0,
 48, 0.00242, 0.99944, 0.98100, 0.60150, 0,
 49, 0.00271, 0.99907, 0.98033, 0.51880, 0,
