process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00000, 00000, 0.000004, 0.000032, 0.999688, 0.000199, 0.000078, 1, 1575592318.043919,
00005, 00005, 0.000002, 0.000029, 0.999865, 0.000069, 0.000035, 1, 1575592319.81464,
00007, 00007, 0.000003, 0.000033, 0.999770, 0.000141, 0.000053, 1, 1575592320.4306495,
00012, 00012, 0.000003, 0.000033, 0.999782, 0.000136, 0.000045, 1, 1575592320.7462595,
00008, 00008, 0.000003, 0.000032, 0.999856, 0.000079, 0.000031, 1, 1575592320.8668463,
00001, 00001, 0.000002, 0.000034, 0.999844, 0.000090, 0.000030, 1, 1575592321.0938947,
00002, 00002, 0.000004, 0.000028, 0.999695, 0.000179, 0.000094, 1, 1575592321.2521505,
00010, 00010, 0.000002, 0.000031, 0.999857, 0.000080, 0.000029, 1, 1575592321.4766853,
00004, 00004, 0.000002, 0.000031, 0.999884, 0.000058, 0.000025, 1, 1575592321.6009653,
00014, 00014, 0.000001, 0.000044, 0.999909, 0.000035, 0.000010, 1, 1575592321.7390313,
00006, 00006, 0.000007, 0.000036, 0.999708, 0.000173, 0.000076, 1, 1575592321.7781038,
00022, 00022, 0.000003, 0.000032, 0.999703, 0.000184, 0.000077, 1, 1575592321.9008515,
00011, 00011, 0.000003, 0.000027, 0.999803, 0.000110, 0.000058, 1, 1575592322.029277,
00019, 00019, 0.000003, 0.000040, 0.999770, 0.000142, 0.000046, 1, 1575592322.17499,
00020, 00020, 0.000003, 0.000029, 0.999812, 0.000108, 0.000049, 1, 1575592322.2150645,
00025, 00025, 0.000002, 0.000034, 0.999895, 0.000051, 0.000018, 1, 1575592322.3115098,
00021, 00021, 0.000003, 0.000039, 0.999880, 0.000058, 0.000019, 1, 1575592322.347093,
00016, 00016, 0.000001, 0.000058, 0.999906, 0.000027, 0.000008, 1, 1575592322.4836564,
00003, 00003, 0.000006, 0.000038, 0.998740, 0.000862, 0.000354, 1, 1575592322.8785636,
00028, 00028, 0.000002, 0.000034, 0.999804, 0.000119, 0.000039, 1, 1575592323.1884408,
00013, 00013, 0.000003, 0.000037, 0.999767, 0.000148, 0.000046, 1, 1575592323.234642,
00018, 00018, 0.000002, 0.000034, 0.999908, 0.000039, 0.000018, 1, 1575592323.3317807,
00017, 00017, 0.000002, 0.000040, 0.999892, 0.000051, 0.000015, 1, 1575592323.34454,
00015, 00015, 0.000003, 0.000029, 0.999796, 0.000119, 0.000054, 1, 1575592323.8641229,
00026, 00026, 0.000003, 0.000029, 0.999783, 0.000126, 0.000058, 1, 1575592323.8705368,
00029, 00029, 0.000008, 0.003579, 0.996310, 0.000077, 0.000026, 1, 1575592324.2331755,
00024, 00024, 0.000004, 0.000026, 0.999792, 0.000108, 0.000071, 1, 1575592324.2756686,
00009, 00009, 0.000002, 0.000073, 0.999893, 0.000025, 0.000008, 1, 1575592324.7888196,
00027, 00027, 0.000003, 0.000032, 0.999784, 0.000133, 0.000048, 1, 1575592326.140587,
00023, 00023, 0.000004, 0.000032, 0.999730, 0.000169, 0.000066, 1, 1575592328.0023227,
00032, 00032, 0.000006, 0.000040, 0.999048, 0.000682, 0.000224, 1, 1575592335.6042724,
00034, 00034, 0.000003, 0.000033, 0.999809, 0.000116, 0.000038, 1, 1575592335.7740936,
00030, 00030, 0.000002, 0.000030, 0.999842, 0.000088, 0.000038, 1, 1575592335.7812984,
00047, 00047, 0.000002, 0.000029, 0.999820, 0.000100, 0.000048, 1, 1575592335.8990529,
00031, 00031, 0.000002, 0.000032, 0.999903, 0.000044, 0.000018, 1, 1575592335.9058251,
00041, 00041, 0.000003, 0.000029, 0.999833, 0.000095, 0.000041, 1, 1575592336.008481,
00040, 00040, 0.000006, 0.000052, 0.998762, 0.000841, 0.000338, 1, 1575592336.306807,
00039, 00039, 0.000007, 0.000041, 0.998339, 0.001158, 0.000456, 1, 1575592336.3075092,
00051, 00051, 0.000006, 0.000033, 0.999225, 0.000506, 0.000229, 1, 1575592336.6307442,
00036, 00036, 0.000003, 0.000029, 0.999740, 0.000156, 0.000072, 1, 1575592336.8069599,
00048, 00048, 0.000006, 0.000038, 0.998870, 0.000768, 0.000318, 1, 1575592337.2403677,
00045, 00045, 0.000004, 0.000034, 0.999681, 0.000208, 0.000072, 1, 1575592337.3526552,
00037, 00037, 0.000003, 0.000029, 0.999762, 0.000126, 0.000080, 1, 1575592337.4930723,
00057, 00057, 0.000004, 0.000031, 0.999497, 0.000309, 0.000159, 1, 1575592337.6577027,
00053, 00053, 0.000002, 0.000035, 0.999895, 0.000042, 0.000026, 1, 1575592337.7982647,
00043, 00043, 0.000009, 0.000047, 0.999270, 0.000518, 0.000156, 1, 1575592337.808456,
00038, 00038, 0.000003, 0.000027, 0.999804, 0.000110, 0.000056, 1, 1575592337.8548331,
00049, 00049, 0.000004, 0.000031, 0.999609, 0.000247, 0.000109, 1, 1575592337.9796414,
00050, 00050, 0.000008, 0.000048, 0.997278, 0.002011, 0.000655, 1, 1575592338.357807,
00042, 00042, 0.000006, 0.000039, 0.998994, 0.000717, 0.000244, 1, 1575592338.5988307,
00044, 00044, 0.000002, 0.000031, 0.999877, 0.000063, 0.000028, 1, 1575592338.6319513,
00059, 00059, 0.000002, 0.000034, 0.999893, 0.000049, 0.000023, 1, 1575592338.662828,
00046, 00046, 0.000002, 0.000045, 0.999914, 0.000030, 0.000010, 1, 1575592338.765131,
00056, 00056, 0.000004, 0.000032, 0.999776, 0.000137, 0.000052, 1, 1575592338.863884,
00035, 00035, 0.000002, 0.000029, 0.999879, 0.000062, 0.000028, 1, 1575592338.8669724,
