epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.01216, 0.99777, 0.96367, 0.66917, 1,
  1, 0.14286, 0.95249, 0.92833, 0.51880, 0,
  2, 0.07883, 0.97606, 0.30800, 0.49624, 0,
  3, 0.05253, 0.98497, 0.97900, 0.66165, 1,
  4, 0.06557, 0.97903, 0.20000, 0.00000, 0,
  5, 0.05609, 0.98163, 0.97100, 0.68421, 0,
  6, 0.04670, 0.98571, 0.23000, 0.47368, 0,
  7, 0.04565, 0.98664, 0.98333, 0.79699, 1,
  8, 0.03412, 0.99016, 0.98500, 0.59398, 1,
  9, 0.02562, 0.99239, 0.97467, 0.50376, 0,
 10, 0.02224, 0.99462, 0.97733, 0.57143, 0,
 11, 0.02398, 0.99313, 0.20000, 1.00000, 0,
 12, 0.01765, 0.99555, 0.98233, 0.72180, 0,
 13, 0.02086, 0.99332, 0.98567, 0.77444, 1,
 14, 0.01925, 0.99517, 0.98500, 0.61654, 0,
 15, 0.02394, 0.99332, 0.98533, 0.66917, 0,
 16, 0.01026, 0.99777, 0.98533, 0.66165, 0,
 17, 0.01530, 0.99573, 0.97067, 0.56391, 0,
 18, 0.01129, 0.99740, 0.98100, 0.60150, 0,
 19, 0.01123, 0.99703, 0.86867, 0.48120, 0,
 20, 0.01305, 0.99647, 0.97067, 0.58647, 0,
 21, 0.00743, 0.99814, 0.96833, 0.54887, 0,
 22, 0.01078, 0.99722, 0.96333, 0.48872, 0,
 23, 0.00759, 0.99796, 0.97800, 0.63910, 0,
 24, 0.00599, 0.99796, 0.98033, 0.61654, 0,
 25, 0.00841, 0.99814, 0.98033, 0.59398, 0,
 26, 0.01025, 0.99703, 0.98000, 0.69173, 0,
 27, 0.00551, 0.99833, 0.97433, 0.60902, 0,
 28, 0.00728, 0.99777, 0.97767, 0.65414, 0,
 29, 0.00643, 0.99852, 0.98033, 0.72180, 0,
 30, 0.00477, 0.99870, 0.98233, 0.62406, 0,
 31, 0.00573, 0.99796, 0.98733, 0.70677, 1,
 32, 0.00541, 0.99852, 0.98433, 0.64662, 0,
 33, 0.00815, 0.99777, 0.97733, 0.62406, 0,
 34, 0.00390, 0.99944, 0.97300, 0.52632, 0,
 35, 0.00503, 0.99889, 0.98400, 0.64662, 0,
 36, 0.00495, 0.99870, 0.96200, 0.58647, 0,
 37, 0.00363, 0.99889, 0.97500, 0.56391, 0,
 38, 0.00447, 0.99852, 0.98633, 0.67669, 0,
 39, 0.00345, 0.99926, 0.98633, 0.57143, 0,
 40, 0.00395, 0.99889, 0.97767, 0.64662, 0,
 41, 0.00390, 0.99889, 0.98367, 0.63910, 0,
 42, 0.00421, 0.99889, 0.98000, 0.65414, 0,
 43, 0.00333, 0.99870, 0.97767, 0.61654, 0,
 44, 0.00433, 0.99870, 0.96867, 0.55639, 0,
 45, 0.00325, 0.99907, 0.97167, 0.63158, 0,
 46, 0.00298, 0.99926, 0.98433, 0.62406, 0,
 47, 0.00395, 0.99907, 0.97433, 0.60150, 0,
 48, 0.00214, 0.99944, 0.98233, 0.66165, 0,
 49, 0.00329, 0.99907, 0.97200, 0.57895, 0,
