epoch, training_loss, training_acc, test_acc, counterex_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5, counterex_class_3,
  0, 0.99243, 0.57239, 0.56533, 0.45113, 1, 1.00000, 0.59667, 0.18333, 0.04833, 0.99833, 0.45113,
  1, 0.78755, 0.67170, 0.20433, 0.13534, 0, 0.01333, 0.00833, 0.00000, 0.00000, 1.00000, 0.13534,
  2, 0.55210, 0.77194, 0.21700, 0.00000, 0, 0.00333, 0.08167, 0.00000, 0.00000, 1.00000, 0.00000,
  3, 0.35181, 0.86641, 0.33967, 0.48872, 0, 0.37167, 0.14333, 0.16500, 0.02000, 0.99833, 0.48872,
  4, 0.29744, 0.89417, 0.39900, 0.00000, 0, 0.00000, 1.00000, 0.00000, 0.00000, 0.99500, 0.00000,
  5, 0.21547, 0.92268, 0.20000, 0.00000, 0, 0.00000, 1.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  6, 0.20878, 0.92864, 0.21833, 0.43609, 0, 0.05000, 0.01667, 0.00667, 0.01833, 1.00000, 0.43609,
  7, 0.17816, 0.93963, 0.49667, 0.48872, 0, 0.96500, 0.36500, 0.12833, 0.02500, 1.00000, 0.48872,
  8, 0.17859, 0.94112, 0.93933, 0.71429, 1, 0.98500, 0.89667, 0.96167, 0.97500, 0.87833, 0.71429,
  9, 0.13445, 0.95435, 0.92167, 0.68421, 0, 0.99333, 0.74500, 0.97167, 0.96000, 0.93833, 0.68421,
 10, 0.12346, 0.95920, 0.47167, 0.48872, 0, 0.96833, 0.16000, 0.17167, 0.06000, 0.99833, 0.48872,
 11, 0.10630, 0.96609, 0.97400, 0.51880, 1, 1.00000, 0.98167, 0.98667, 0.95833, 0.94333, 0.51880,
 12, 0.09995, 0.97056, 0.84000, 0.48120, 0, 1.00000, 0.93167, 0.95833, 0.94667, 0.36333, 0.48120,
 13, 0.09824, 0.96963, 0.95867, 0.48120, 0, 1.00000, 0.99000, 0.98333, 0.95333, 0.86667, 0.48120,
 14, 0.08484, 0.97168, 0.91467, 0.23308, 0, 0.99833, 0.99500, 0.85667, 0.72833, 0.99500, 0.23308,
 15, 0.07030, 0.97857, 0.96867, 0.53383, 0, 1.00000, 0.99000, 0.99167, 0.94833, 0.91333, 0.53383,
 16, 0.07398, 0.97317, 0.88100, 0.48872, 0, 1.00000, 0.96167, 0.96000, 0.90667, 0.57667, 0.48872,
 17, 0.06368, 0.98118, 0.96400, 0.61654, 0, 1.00000, 0.99333, 0.99667, 0.97167, 0.85833, 0.61654,
 18, 0.05801, 0.98304, 0.98100, 0.61654, 1, 1.00000, 0.99333, 0.99333, 0.96333, 0.95500, 0.61654,
 19, 0.05632, 0.98323, 0.98133, 0.46617, 1, 1.00000, 0.99167, 0.98833, 0.96000, 0.96667, 0.46617,
 20, 0.05151, 0.98286, 0.97167, 0.52632, 0, 1.00000, 0.99500, 0.99333, 0.97167, 0.89833, 0.52632,
