process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00003, 00003, 0.000012, 0.000011, 0.999853, 0.000121, 0.000004, 1, 1582077758.519712,
00000, 00000, 0.000010, 0.000010, 0.999752, 0.000222, 0.000006, 1, 1582077758.948988,
00001, 00001, 0.000010, 0.000012, 0.999824, 0.000150, 0.000005, 1, 1582077758.9629672,
00021, 00021, 0.000013, 0.000010, 0.999744, 0.000228, 0.000006, 1, 1582077759.3984227,
00020, 00020, 0.000014, 0.000008, 0.999754, 0.000219, 0.000005, 1, 1582077759.4501386,
00004, 00004, 0.000007, 0.000015, 0.999841, 0.000132, 0.000005, 1, 1582077759.4664724,
00011, 00011, 0.000008, 0.000012, 0.999848, 0.000128, 0.000004, 1, 1582077759.6484337,
00013, 00013, 0.000022, 0.000027, 0.999832, 0.000115, 0.000004, 1, 1582077759.8191304,
00002, 00002, 0.000013, 0.000008, 0.999671, 0.000302, 0.000006, 1, 1582077759.9107494,
00007, 00007, 0.000009, 0.000015, 0.999872, 0.000100, 0.000004, 1, 1582077759.9732301,
00018, 00018, 0.000011, 0.000011, 0.999842, 0.000132, 0.000004, 1, 1582077760.125517,
00027, 00027, 0.000013, 0.000010, 0.999822, 0.000151, 0.000004, 1, 1582077760.2042403,
00008, 00008, 0.000009, 0.000009, 0.999807, 0.000170, 0.000005, 1, 1582077760.6268623,
00012, 00012, 0.000035, 0.000012, 0.996766, 0.003156, 0.000031, 1, 1582077760.7302139,
00026, 00026, 0.000013, 0.000009, 0.999781, 0.000192, 0.000005, 1, 1582077760.7397702,
00017, 00017, 0.000017, 0.000010, 0.999648, 0.000318, 0.000007, 1, 1582077760.9342644,
00010, 00010, 0.000015, 0.000008, 0.999682, 0.000289, 0.000006, 1, 1582077761.2833862,
00019, 00019, 0.000011, 0.000011, 0.999792, 0.000181, 0.000005, 1, 1582077761.6313913,
00029, 00029, 0.000009, 0.000048, 0.999875, 0.000064, 0.000004, 1, 1582077761.7043965,
00022, 00022, 0.000010, 0.000018, 0.999863, 0.000104, 0.000004, 1, 1582077761.7110136,
00005, 00005, 0.000013, 0.000011, 0.999795, 0.000176, 0.000005, 1, 1582077762.024388,
00028, 00028, 0.000014, 0.000008, 0.999749, 0.000224, 0.000005, 1, 1582077762.145748,
00009, 00009, 0.000009, 0.000018, 0.999867, 0.000101, 0.000004, 1, 1582077762.177289,
00016, 00016, 0.000009, 0.000026, 0.999847, 0.000113, 0.000005, 1, 1582077762.7737412,
00014, 00014, 0.000012, 0.000008, 0.999566, 0.000407, 0.000007, 1, 1582077762.806719,
00006, 00006, 0.000050, 0.000016, 0.992838, 0.007040, 0.000056, 1, 1582077763.0202234,
00024, 00024, 0.000024, 0.005888, 0.993937, 0.000126, 0.000024, 1, 1582077763.107037,
00023, 00023, 0.000009, 0.000028, 0.999891, 0.000068, 0.000004, 1, 1582077763.2973738,
00025, 00025, 0.000011, 0.000014, 0.999858, 0.000113, 0.000004, 1, 1582077763.316842,
00015, 00015, 0.000005, 0.000009, 0.999708, 0.000272, 0.000006, 1, 1582077763.67177,
00035, 00035, 0.000018, 0.000006, 0.999377, 0.000590, 0.000009, 1, 1582077766.8182814,
00056, 00056, 0.000009, 0.000028, 0.999889, 0.000070, 0.000004, 1, 1582077767.1005008,
00038, 00038, 0.000015, 0.000009, 0.999690, 0.000280, 0.000006, 1, 1582077767.2971988,
