process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00006, 00006, 0.000004, 0.000033, 0.999431, 0.000372, 0.000160, 1, 1582060994.5197663,
00010, 00010, 0.000003, 0.000033, 0.999886, 0.000059, 0.000020, 1, 1582060994.9491534,
00003, 00003, 0.000003, 0.000034, 0.999782, 0.000130, 0.000052, 1, 1582060995.1739044,
00009, 00009, 0.000003, 0.000037, 0.999901, 0.000045, 0.000014, 1, 1582060995.7767065,
00013, 00013, 0.000001, 0.000065, 0.999902, 0.000021, 0.000011, 1, 1582060995.8847358,
00012, 00012, 0.000003, 0.000041, 0.999813, 0.000113, 0.000031, 1, 1582060996.03424,
00011, 00011, 0.000002, 0.000036, 0.999918, 0.000030, 0.000014, 1, 1582060996.0953012,
00008, 00008, 0.000002, 0.000041, 0.999901, 0.000043, 0.000014, 1, 1582060996.3351684,
00001, 00001, 0.000005, 0.000042, 0.999650, 0.000232, 0.000071, 1, 1582060996.481206,
00002, 00002, 0.000003, 0.000036, 0.999863, 0.000075, 0.000022, 1, 1582060996.5354161,
00022, 00022, 0.000004, 0.000034, 0.999626, 0.000252, 0.000083, 1, 1582060996.671044,
00018, 00018, 0.000003, 0.000031, 0.999828, 0.000099, 0.000038, 1, 1582060996.6723874,
00000, 00000, 0.000002, 0.000033, 0.999913, 0.000036, 0.000016, 1, 1582060996.8437853,
00016, 00016, 0.000001, 0.000053, 0.999912, 0.000023, 0.000011, 1, 1582060996.949682,
00029, 00029, 0.000003, 0.000036, 0.999824, 0.000105, 0.000032, 1, 1582060997.0571373,
00024, 00024, 0.000002, 0.000041, 0.999866, 0.000056, 0.000034, 1, 1582060997.065204,
00015, 00015, 0.000002, 0.000031, 0.999816, 0.000104, 0.000047, 1, 1582060997.22842,
00028, 00028, 0.000002, 0.000032, 0.999857, 0.000080, 0.000028, 1, 1582060997.4335475,
00026, 00026, 0.000004, 0.000029, 0.999570, 0.000262, 0.000134, 1, 1582060997.4462662,
00019, 00019, 0.000001, 0.000059, 0.999905, 0.000023, 0.000012, 1, 1582060997.537468,
00023, 00023, 0.000002, 0.000033, 0.999848, 0.000087, 0.000030, 1, 1582060997.5771847,
00007, 00007, 0.000005, 0.000039, 0.999332, 0.000466, 0.000158, 1, 1582060997.5787652,
00027, 00027, 0.000003, 0.000032, 0.999806, 0.000118, 0.000042, 1, 1582060997.6004791,
00004, 00004, 0.000002, 0.000045, 0.999897, 0.000043, 0.000013, 1, 1582060997.6193905,
00014, 00014, 0.000003, 0.000032, 0.999705, 0.000182, 0.000077, 1, 1582060998.3312988,
00005, 00005, 0.000003, 0.000033, 0.999777, 0.000139, 0.000048, 1, 1582060998.8076758,
00021, 00021, 0.000006, 0.000035, 0.999092, 0.000613, 0.000254, 1, 1582060998.8211114,
00020, 00020, 0.000002, 0.000050, 0.999882, 0.000042, 0.000024, 1, 1582060998.8716922,
00017, 00017, 0.000025, 0.000070, 0.983070, 0.013473, 0.003363, 1, 1582061001.7075713,
00025, 00025, 0.000003, 0.000030, 0.999833, 0.000096, 0.000040, 1, 1582061001.8395743,
00035, 00035, 0.000003, 0.000031, 0.999749, 0.000156, 0.000061, 1, 1582061005.3883812,
00043, 00043, 0.000002, 0.000039, 0.999900, 0.000046, 0.000014, 1, 1582061005.6241448,
00042, 00042, 0.000003, 0.000027, 0.999803, 0.000108, 0.000059, 1, 1582061006.5442054,
00056, 00056, 0.000006, 0.002609, 0.997291, 0.000073, 0.000021, 1, 1582061006.6740272,
00033, 00033, 0.000002, 0.000029, 0.999894, 0.000049, 0.000026, 1, 1582061006.7048113,
00049, 00049, 0.000004, 0.000035, 0.999541, 0.000307, 0.000113, 1, 1582061006.7340388,
00037, 00037, 0.000004, 0.000036, 0.999509, 0.000332, 0.000119, 1, 1582061007.2765112,
00053, 00053, 0.000002, 0.000029, 0.999863, 0.000074, 0.000031, 1, 1582061007.484278,
00055, 00055, 0.000001, 0.000048, 0.999915, 0.000026, 0.000010, 1, 1582061007.5894103,
00058, 00058, 0.000006, 0.000039, 0.998918, 0.000698, 0.000338, 1, 1582061007.863109,
00039, 00039, 0.000074, 0.158391, 0.840876, 0.000521, 0.000138, 1, 1582061007.9770074,
00047, 00047, 0.000002, 0.000029, 0.999888, 0.000051, 0.000030, 1, 1582061008.0464847,
00052, 00052, 0.000002, 0.000040, 0.999909, 0.000035, 0.000014, 1, 1582061008.144789,
00046, 00046, 0.000008, 0.000053, 0.997874, 0.001570, 0.000495, 1, 1582061008.2585835,
00032, 00032, 0.000003, 0.000039, 0.999698, 0.000199, 0.000061, 1, 1582061008.3388205,
00036, 00036, 0.000003, 0.000035, 0.999692, 0.000200, 0.000069, 1, 1582061008.3809195,
00059, 00059, 0.000002, 0.000029, 0.999849, 0.000082, 0.000039, 1, 1582061008.3851438,
00051, 00051, 0.000003, 0.000034, 0.999770, 0.000144, 0.000050, 1, 1582061008.4026098,
00057, 00057, 0.000002, 0.000031, 0.999899, 0.000048, 0.000020, 1, 1582061008.4645503,
00030, 00030, 0.000005, 0.000040, 0.999055, 0.000604, 0.000295, 1, 1582061008.534595,
