process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00004, 00004, 0.000001, 0.000060, 0.999877, 0.000030, 0.000032, 1, 1584930277.4327698,
00001, 00001, 0.000000, 0.000052, 0.999901, 0.000021, 0.000025, 1, 1584930278.1386588,
00013, 00013, 0.000033, 0.000623, 0.996702, 0.001687, 0.000954, 1, 1584930278.7087026,
00010, 00010, 0.000000, 0.000027, 0.999955, 0.000008, 0.000011, 1, 1584930278.905586,
00002, 00002, 0.000010, 0.000201, 0.998935, 0.000566, 0.000288, 1, 1584930279.0464108,
00000, 00000, 0.000020, 0.000368, 0.997646, 0.001326, 0.000640, 1, 1584930279.0927258,
00011, 00011, 0.000004, 0.000155, 0.999528, 0.000179, 0.000134, 1, 1584930279.3354836,
00015, 00015, 0.000000, 0.000045, 0.999918, 0.000016, 0.000020, 1, 1584930279.511785,
00012, 00012, 0.000002, 0.000119, 0.999734, 0.000073, 0.000072, 1, 1584930279.755871,
00005, 00005, 0.000000, 0.000039, 0.999929, 0.000014, 0.000018, 1, 1584930279.8353796,
00003, 00003, 0.000000, 0.000035, 0.999948, 0.000005, 0.000011, 1, 1584930279.8766756,
00016, 00016, 0.000000, 0.000024, 0.999964, 0.000004, 0.000008, 1, 1584930279.9726477,
00009, 00009, 0.000003, 0.000171, 0.999559, 0.000143, 0.000124, 1, 1584930280.0282884,
00019, 00019, 0.000004, 0.000169, 0.999536, 0.000161, 0.000131, 1, 1584930280.3514779,
00022, 00022, 0.000004, 0.000171, 0.999533, 0.000161, 0.000132, 1, 1584930280.571833,
00008, 00008, 0.000000, 0.000026, 0.999954, 0.000009, 0.000011, 1, 1584930280.7437124,
00014, 00014, 0.000004, 0.000162, 0.999463, 0.000219, 0.000152, 1, 1584930280.8035398,
00023, 00023, 0.000000, 0.000034, 0.999945, 0.000008, 0.000013, 1, 1584930281.067662,
00021, 00021, 0.000000, 0.000020, 0.999966, 0.000006, 0.000008, 1, 1584930281.0824163,
00026, 00026, 0.000000, 0.000023, 0.999964, 0.000005, 0.000008, 1, 1584930281.2095637,
00006, 00006, 0.000000, 0.000051, 0.999904, 0.000020, 0.000024, 1, 1584930281.642714,
00029, 00029, 0.000001, 0.000067, 0.999862, 0.000034, 0.000036, 1, 1584930281.9185717,
00007, 00007, 0.000000, 0.000026, 0.999953, 0.000010, 0.000012, 1, 1584930282.1199977,
00027, 00027, 0.000005, 0.000222, 0.999365, 0.000227, 0.000181, 1, 1584930282.1256528,
00018, 00018, 0.000000, 0.000060, 0.999889, 0.000022, 0.000028, 1, 1584930282.203362,
00028, 00028, 0.000000, 0.000023, 0.999966, 0.000004, 0.000007, 1, 1584930282.2500846,
00024, 00024, 0.000002, 0.000112, 0.999743, 0.000074, 0.000070, 1, 1584930282.538823,
00020, 00020, 0.000003, 0.000157, 0.999596, 0.000130, 0.000113, 1, 1584930282.679803,
00017, 00017, 0.000000, 0.000042, 0.999919, 0.000018, 0.000021, 1, 1584930283.609149,
00025, 00025, 0.000000, 0.000026, 0.999959, 0.000006, 0.000009, 1, 1584930285.0521057,
00033, 00033, 0.000000, 0.000060, 0.999887, 0.000024, 0.000029, 1, 1584930288.6641204,
00036, 00036, 0.000000, 0.000026, 0.999960, 0.000005, 0.000009, 1, 1584930288.980027,
00034, 00034, 0.000000, 0.000043, 0.999917, 0.000018, 0.000021, 1, 1584930289.3095858,
00056, 00056, 0.000000, 0.000026, 0.999957, 0.000006, 0.000010, 1, 1584930289.582515,
00048, 00048, 0.000000, 0.000027, 0.999954, 0.000008, 0.000011, 1, 1584930289.6020362,
00035, 00035, 0.000000, 0.000025, 0.999958, 0.000006, 0.000010, 1, 1584930289.6034503,
00055, 00055, 0.000000, 0.000021, 0.999969, 0.000004, 0.000007, 1, 1584930289.771624,
00058, 00058, 0.000001, 0.000089, 0.999809, 0.000050, 0.000051, 1, 1584930289.88433,
00032, 00032, 0.000001, 0.000081, 0.999813, 0.000054, 0.000051, 1, 1584930289.896717,
00046, 00046, 0.000000, 0.000018, 0.999973, 0.000003, 0.000006, 1, 1584930289.9460335,
00031, 00031, 0.000000, 0.000043, 0.999919, 0.000017, 0.000021, 1, 1584930290.072175,
00050, 00050, 0.000001, 0.000081, 0.999839, 0.000037, 0.000042, 1, 1584930290.1604223,
00054, 00054, 0.000000, 0.000031, 0.999953, 0.000006, 0.000010, 1, 1584930290.170159,
00040, 00040, 0.000000, 0.000019, 0.999971, 0.000003, 0.000006, 1, 1584930290.2081504,
00057, 00057, 0.000000, 0.000046, 0.999919, 0.000015, 0.000020, 1, 1584930290.2500947,
00051, 00051, 0.000004, 0.000184, 0.999479, 0.000185, 0.000148, 1, 1584930290.2809105,
00030, 00030, 0.000000, 0.000022, 0.999966, 0.000005, 0.000008, 1, 1584930290.5226188,
00045, 00045, 0.000000, 0.000024, 0.999966, 0.000003, 0.000007, 1, 1584930290.564707,
00049, 00049, 0.000000, 0.000024, 0.999962, 0.000005, 0.000009, 1, 1584930290.698123,
00052, 00052, 0.000000, 0.000030, 0.999951, 0.000008, 0.000011, 1, 1584930290.7862728,
00042, 00042, 0.000005, 0.000098, 0.999475, 0.000356, 0.000066, 1, 1584930515.3077302,
00053, 00053, 0.000002, 0.000062, 0.999776, 0.000131, 0.000029, 1, 1584930515.3092768,
00043, 00043, 0.000007, 0.000133, 0.999362, 0.000414, 0.000085, 1, 1584930515.3106005,
00039, 00039, 0.000006, 0.000110, 0.999462, 0.000352, 0.000070, 1, 1584930515.31252,
00038, 00038, 0.000007, 0.000135, 0.999326, 0.000442, 0.000089, 1, 1584930515.3161693,
00059, 00059, 0.000002, 0.000073, 0.999790, 0.000106, 0.000028, 1, 1584930515.3200912,
00041, 00041, 0.000001, 0.000045, 0.999888, 0.000051, 0.000014, 1, 1584930515.3251374,
00047, 00047, 0.000002, 0.000045, 0.999630, 0.000286, 0.000038, 1, 1584930515.3302104,
00044, 00044, 0.000008, 0.000137, 0.999281, 0.000480, 0.000094, 1, 1584930515.340331,
00037, 00037, 0.000048, 0.000363, 0.991698, 0.007093, 0.000797, 1, 1584930515.3447628,
00062, 00062, 0.000010, 0.000158, 0.999008, 0.000698, 0.000126, 1, 1584930517.9225078,
00070, 00070, 0.000097, 0.000399, 0.956362, 0.040717, 0.002425, 1, 1584930518.6351097,
00071, 00071, 0.000097, 0.000519, 0.974464, 0.022937, 0.001983, 1, 1584930519.2939763,
00086, 00086, 0.000011, 0.000160, 0.998906, 0.000787, 0.000136, 1, 1584930519.3154676,
00067, 00067, 0.000005, 0.000099, 0.999498, 0.000334, 0.000064, 1, 1584930519.5114245,
00064, 00064, 0.000001, 0.000026, 0.999925, 0.000039, 0.000009, 1, 1584930519.7065077,
00072, 00072, 0.000047, 0.000322, 0.989761, 0.009010, 0.000861, 1, 1584930519.769936,
00081, 00081, 0.000040, 0.000329, 0.993751, 0.005251, 0.000629, 1, 1584930519.9670613,
00087, 00087, 0.000002, 0.000053, 0.999797, 0.000123, 0.000026, 1, 1584930520.1014621,
00089, 00089, 0.000002, 0.000066, 0.999771, 0.000131, 0.000030, 1, 1584930520.2089648,
00065, 00065, 0.000277, 0.000846, 0.853525, 0.137716, 0.007636, 1, 1584930520.4635012,
00077, 00077, 0.000074, 0.000431, 0.981237, 0.016782, 0.001477, 1, 1584930520.4649599,
00060, 00060, 0.000005, 0.000093, 0.999432, 0.000401, 0.000069, 1, 1584930520.5178766,
00082, 00082, 0.000001, 0.000045, 0.999872, 0.000066, 0.000017, 1, 1584930520.8725865,
00063, 00063, 0.000001, 0.000033, 0.999931, 0.000027, 0.000009, 1, 1584930520.9718592,
