epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.07309, 0.97815, 0.20000, 1, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  1, 0.11569, 0.96185, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.06789, 0.97850, 0.98733, 1, 0.99833, 0.98833, 1.00000, 0.97000, 0.98000,
  3, 0.04673, 0.98578, 0.70500, 0, 0.97833, 0.29500, 0.73167, 0.52333, 0.99667,
  4, 0.03970, 0.98994, 0.50233, 0, 0.70333, 0.03333, 0.38333, 0.39333, 0.99833,
  5, 0.03049, 0.99133, 0.20100, 0, 0.00167, 0.00000, 0.00000, 0.00333, 1.00000,
  6, 0.02430, 0.99341, 0.97933, 0, 1.00000, 0.97000, 1.00000, 0.97500, 0.95167,
  7, 0.02385, 0.99202, 0.96600, 0, 1.00000, 0.99833, 1.00000, 0.96667, 0.86500,
  8, 0.01803, 0.99532, 0.94600, 0, 1.00000, 0.97500, 1.00000, 0.96000, 0.79500,
  9, 0.01517, 0.99705, 0.97800, 0, 1.00000, 0.99500, 1.00000, 0.97000, 0.92500,
 10, 0.01000, 0.99809, 0.96867, 0, 0.99000, 0.91500, 0.99833, 0.95167, 0.98833,
 11, 0.00872, 0.99844, 0.97733, 0, 0.99833, 0.97167, 1.00000, 0.97167, 0.94500,
 12, 0.00716, 0.99861, 0.97800, 0, 1.00000, 0.99500, 1.00000, 0.96500, 0.93000,
 13, 0.00804, 0.99809, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 14, 0.00819, 0.99844, 0.97767, 0, 1.00000, 0.99667, 1.00000, 0.95833, 0.93333,
 15, 0.00714, 0.99827, 0.20200, 0, 0.00000, 0.00000, 0.00000, 0.01000, 1.00000,
 16, 0.00658, 0.99827, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 17, 0.00486, 0.99896, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 18, 0.00480, 0.99861, 0.97900, 0, 1.00000, 0.99500, 1.00000, 0.96667, 0.93333,
 19, 0.00415, 0.99896, 0.20767, 0, 0.00000, 0.00000, 0.00000, 0.03833, 1.00000,
 20, 0.00467, 0.99879, 0.95867, 0, 1.00000, 0.98667, 1.00000, 0.96667, 0.84000,
 21, 0.00461, 0.99879, 0.97867, 0, 1.00000, 0.99667, 1.00000, 0.96500, 0.93167,
 22, 0.00448, 0.99879, 0.97867, 0, 1.00000, 0.99167, 1.00000, 0.97333, 0.92833,
 23, 0.00323, 0.99913, 0.97967, 0, 1.00000, 0.98833, 1.00000, 0.97000, 0.94000,
 24, 0.00426, 0.99879, 0.95300, 0, 0.99000, 0.87667, 0.95667, 0.95000, 0.99167,
 25, 0.00342, 0.99879, 0.98200, 0, 1.00000, 0.96000, 0.99667, 0.97500, 0.97833,
 26, 0.00305, 0.99913, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 27, 0.00297, 0.99913, 0.97933, 0, 1.00000, 0.98667, 1.00000, 0.96833, 0.94167,
 28, 0.00281, 0.99931, 0.98167, 0, 1.00000, 0.98833, 1.00000, 0.97000, 0.95000,
 29, 0.00229, 0.99913, 0.98200, 0, 1.00000, 0.99833, 1.00000, 0.96667, 0.94500,
 30, 0.00213, 0.99948, 0.97867, 0, 1.00000, 0.99167, 1.00000, 0.96667, 0.93500,
