epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.50991, 0.80529, 0.95300, 1, 1.00000, 1.00000, 0.95833, 0.83833, 0.96833,
  1, 0.29596, 0.89435, 0.91400, 0, 0.99167, 1.00000, 0.98833, 0.93500, 0.65500,
  2, 0.25355, 0.91112, 0.80967, 0, 1.00000, 0.81833, 0.65000, 0.59333, 0.98667,
  3, 0.23092, 0.92473, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  4, 0.18461, 0.93907, 0.88833, 0, 1.00000, 1.00000, 0.98667, 0.86000, 0.59500,
  5, 0.15485, 0.94671, 0.90633, 0, 0.97500, 0.99667, 0.95667, 0.61333, 0.99000,
  6, 0.14734, 0.95286, 0.41233, 0, 0.86667, 0.12333, 0.02333, 0.05000, 0.99833,
  7, 0.12221, 0.95975, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  8, 0.11039, 0.96814, 0.36867, 0, 0.61667, 0.07500, 0.02667, 0.12667, 0.99833,
  9, 0.10554, 0.96907, 0.52400, 0, 0.96000, 0.46167, 0.10833, 0.09167, 0.99833,
 10, 0.07405, 0.97876, 0.29467, 0, 0.38500, 0.00333, 0.01667, 0.07000, 0.99833,
 11, 0.06547, 0.98025, 0.56733, 0, 0.98833, 0.59500, 0.18333, 0.07167, 0.99833,
 12, 0.07760, 0.97596, 0.97800, 1, 1.00000, 1.00000, 0.99000, 0.94333, 0.95667,
 13, 0.06174, 0.98304, 0.95700, 0, 1.00000, 0.99833, 0.99333, 0.95167, 0.84167,
 14, 0.04999, 0.98491, 0.75500, 0, 1.00000, 0.83167, 0.56833, 0.37833, 0.99667,
 15, 0.04377, 0.98733, 0.95067, 0, 0.99833, 0.97333, 0.96000, 0.83333, 0.98833,
 16, 0.03236, 0.99199, 0.50900, 0, 0.71333, 0.05167, 0.02333, 0.76500, 0.99167,
 17, 0.02952, 0.99329, 0.57567, 0, 1.00000, 0.87333, 0.60500, 0.20167, 0.19833,
 18, 0.02770, 0.99348, 0.21467, 0, 0.04833, 0.00000, 0.00500, 0.02000, 1.00000,
 19, 0.02262, 0.99404, 0.88767, 0, 1.00000, 1.00000, 0.98167, 0.92000, 0.53667,
 20, 0.01819, 0.99665, 0.92300, 0, 0.99833, 0.89167, 0.95000, 0.78833, 0.98667,
 21, 0.01718, 0.99646, 0.97733, 0, 1.00000, 0.99000, 0.97167, 0.94500, 0.98000,
 22, 0.01812, 0.99627, 0.97267, 0, 1.00000, 0.99667, 0.99500, 0.96000, 0.91167,
 23, 0.02072, 0.99497, 0.97533, 0, 0.99833, 0.98167, 0.99000, 0.95833, 0.94833,
 24, 0.01143, 0.99832, 0.97300, 0, 1.00000, 1.00000, 0.99167, 0.94833, 0.92500,
 25, 0.00977, 0.99832, 0.78133, 0, 0.95500, 0.51000, 0.64500, 0.81500, 0.98167,
 26, 0.01013, 0.99832, 0.96067, 0, 1.00000, 1.00000, 0.99000, 0.94667, 0.86667,
 27, 0.01062, 0.99832, 0.98300, 1, 1.00000, 1.00000, 0.99500, 0.96167, 0.95833,
 28, 0.00983, 0.99832, 0.98333, 1, 1.00000, 1.00000, 0.99500, 0.95500, 0.96667,
 29, 0.00828, 0.99832, 0.57567, 0, 0.95000, 0.32167, 0.14333, 0.46833, 0.99500,
 30, 0.00748, 0.99832, 0.21467, 0, 0.03500, 0.00000, 0.00667, 0.03167, 1.00000,
 31, 0.00696, 0.99851, 0.97333, 0, 1.00000, 1.00000, 0.99333, 0.95333, 0.92000,
 32, 0.00710, 0.99851, 0.97133, 0, 0.99833, 0.99167, 0.99167, 0.95333, 0.92167,
 33, 0.00660, 0.99832, 0.97233, 0, 1.00000, 1.00000, 0.99000, 0.94833, 0.92333,
 34, 0.00624, 0.99851, 0.96133, 0, 1.00000, 1.00000, 0.99500, 0.94833, 0.86333,
 35, 0.00619, 0.99832, 0.96600, 0, 1.00000, 1.00000, 0.99333, 0.96500, 0.87167,
 36, 0.00568, 0.99832, 0.97933, 0, 1.00000, 1.00000, 0.99167, 0.95667, 0.94833,
 37, 0.00492, 0.99851, 0.98167, 0, 1.00000, 1.00000, 0.99333, 0.95833, 0.95667,
 38, 0.00436, 0.99832, 0.97600, 0, 1.00000, 1.00000, 0.99333, 0.95833, 0.92833,
 39, 0.00480, 0.99832, 0.97467, 0, 1.00000, 1.00000, 0.99000, 0.95333, 0.93000,
 40, 0.00423, 0.99851, 0.96367, 0, 1.00000, 1.00000, 0.99000, 0.94167, 0.88667,
 41, 0.00474, 0.99888, 0.97900, 0, 1.00000, 1.00000, 0.99333, 0.96167, 0.94000,
 42, 0.00336, 0.99888, 0.97400, 0, 1.00000, 1.00000, 0.99000, 0.95333, 0.92667,
 43, 0.00338, 0.99888, 0.98067, 0, 1.00000, 1.00000, 0.99167, 0.96667, 0.94500,
 44, 0.00323, 0.99870, 0.97000, 0, 1.00000, 1.00000, 0.99333, 0.95000, 0.90667,
 45, 0.00334, 0.99907, 0.97867, 0, 1.00000, 1.00000, 0.99500, 0.95500, 0.94333,
 46, 0.00269, 0.99907, 0.97933, 0, 1.00000, 1.00000, 0.99500, 0.96167, 0.94000,
 47, 0.00234, 0.99963, 0.98033, 0, 1.00000, 1.00000, 0.99167, 0.96000, 0.95000,
 48, 0.00222, 0.99981, 0.97833, 0, 1.00000, 1.00000, 0.99667, 0.95500, 0.94000,
 49, 0.00212, 0.99981, 0.97467, 0, 1.00000, 1.00000, 0.99000, 0.95333, 0.93000,
 50, 0.00212, 0.99981, 0.94200, 0, 1.00000, 1.00000, 0.99000, 0.92833, 0.79167,
 51, 0.00203, 0.99963, 0.97867, 0, 1.00000, 1.00000, 0.99500, 0.95833, 0.94000,
 52, 0.00221, 0.99907, 0.96967, 0, 1.00000, 0.98833, 0.99333, 0.95667, 0.91000,
 53, 0.00193, 0.99963, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 54, 0.00185, 0.99981, 0.97600, 0, 1.00000, 1.00000, 0.99333, 0.95333, 0.93333,
 55, 0.00164, 1.00000, 0.93933, 0, 1.00000, 0.99833, 0.98500, 0.91167, 0.80167,
 56, 0.00156, 1.00000, 0.95533, 0, 1.00000, 1.00000, 0.99000, 0.94000, 0.84667,
 57, 0.00145, 1.00000, 0.97867, 0, 1.00000, 1.00000, 0.99333, 0.95667, 0.94333,
 58, 0.00140, 1.00000, 0.96867, 0, 1.00000, 1.00000, 0.99167, 0.94333, 0.90833,
 59, 0.00136, 1.00000, 0.97300, 0, 0.99833, 0.98500, 0.97167, 0.95667, 0.95333,
