epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.45287, 0.83604, 0.20000, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  1, 0.22648, 0.92025, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  2, 0.17598, 0.94019, 0.20167, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  3, 0.15374, 0.95342, 0.57900, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  4, 0.11603, 0.96497, 0.20533, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  5, 0.10375, 0.96777, 0.83467, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  6, 0.09330, 0.97541, 0.96200, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  7, 0.07707, 0.98025, 0.98000, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  8, 0.07647, 0.97820, 0.22800, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
  9, 0.06833, 0.98081, 0.57400, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 10, 0.06265, 0.98323, 0.95900, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 11, 0.04818, 0.98808, 0.88367, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 12, 0.03622, 0.99292, 0.97133, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 13, 0.03227, 0.99236, 0.98467, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 14, 0.04862, 0.98603, 0.96433, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 15, 0.03809, 0.99106, 0.83267, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 16, 0.02565, 0.99571, 0.98267, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 17, 0.01951, 0.99795, 0.68000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 18, 0.01620, 0.99795, 0.86900, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 19, 0.01479, 0.99814, 0.93833, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 20, 0.01346, 0.99832, 0.90333, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 21, 0.01120, 0.99814, 0.97900, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 22, 0.00937, 0.99888, 0.98200, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 23, 0.00906, 0.99832, 0.97367, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 24, 0.00692, 0.99907, 0.97067, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 25, 0.00615, 0.99907, 0.97900, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
 26, 0.00606, 0.99907, 0.97800, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
