epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.01375, 0.99598, 0.96700, 1, 1.00000, 0.99667, 0.98500, 0.95167, 0.90167,
  1, 0.15090, 0.95080, 0.48233, 0, 0.48000, 0.38500, 0.33667, 0.21167, 0.99833,
  2, 0.08787, 0.97293, 0.93833, 0, 1.00000, 0.99833, 0.85833, 0.84833, 0.98667,
  3, 0.06780, 0.97915, 0.96167, 0, 1.00000, 0.98667, 0.94833, 0.87833, 0.99500,
  4, 0.07279, 0.97787, 0.94000, 0, 1.00000, 0.99500, 0.97500, 0.94833, 0.78167,
  5, 0.07045, 0.97714, 0.20467, 0, 0.00000, 0.00000, 1.00000, 0.00000, 0.02333,
  6, 0.05376, 0.98335, 0.79467, 0, 1.00000, 0.39833, 0.73000, 0.90500, 0.94000,
  7, 0.04261, 0.98646, 0.92133, 0, 1.00000, 0.98333, 0.82833, 0.93167, 0.86333,
  8, 0.04592, 0.98610, 0.97833, 1, 1.00000, 0.99833, 0.98833, 0.96833, 0.93667,
  9, 0.03634, 0.98884, 0.87467, 0, 0.99667, 0.78167, 0.75167, 0.84667, 0.99667,
 10, 0.03986, 0.98683, 0.98133, 1, 1.00000, 1.00000, 0.99167, 0.92667, 0.98833,
 11, 0.02832, 0.99232, 0.96600, 0, 1.00000, 0.99667, 0.98833, 0.96333, 0.88167,
 12, 0.02944, 0.99049, 0.96200, 0, 1.00000, 0.98833, 0.93167, 0.95167, 0.93833,
 13, 0.02746, 0.99232, 0.95767, 0, 1.00000, 0.95333, 0.94167, 0.90667, 0.98667,
 14, 0.02132, 0.99232, 0.97167, 0, 1.00000, 0.96167, 0.95167, 0.97167, 0.97333,
 15, 0.02099, 0.99415, 0.20033, 0, 0.00000, 0.00000, 0.00000, 0.00167, 1.00000,
 16, 0.01754, 0.99451, 0.96867, 0, 1.00000, 0.94667, 0.97667, 0.94167, 0.97833,
 17, 0.01288, 0.99707, 0.98033, 0, 1.00000, 1.00000, 0.98833, 0.96500, 0.94833,
 18, 0.02380, 0.99360, 0.98333, 1, 1.00000, 1.00000, 0.98667, 0.96333, 0.96667,
 19, 0.01578, 0.99506, 0.97933, 0, 1.00000, 1.00000, 0.99167, 0.96833, 0.93667,
 20, 0.01360, 0.99634, 0.20500, 0, 0.00000, 0.00000, 0.99167, 0.00000, 0.03333,
 21, 0.01495, 0.99634, 0.96500, 0, 1.00000, 0.99667, 0.96000, 0.94833, 0.92000,
 22, 0.00607, 0.99945, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 23, 0.00947, 0.99762, 0.98267, 0, 1.00000, 1.00000, 0.99000, 0.95000, 0.97333,
 24, 0.01068, 0.99781, 0.97800, 0, 1.00000, 0.99833, 0.98833, 0.96333, 0.94000,
 25, 0.00862, 0.99781, 0.97667, 0, 1.00000, 0.99833, 0.98333, 0.96167, 0.94000,
 26, 0.00924, 0.99707, 0.96833, 0, 1.00000, 0.99667, 0.98167, 0.95167, 0.91167,
 27, 0.00670, 0.99835, 0.96633, 0, 1.00000, 1.00000, 0.98167, 0.96000, 0.89000,
 28, 0.00756, 0.99872, 0.97700, 0, 1.00000, 0.99833, 0.99167, 0.96000, 0.93500,
 29, 0.00698, 0.99872, 0.97667, 0, 1.00000, 1.00000, 0.98833, 0.96000, 0.93500,
 30, 0.00713, 0.99799, 0.97800, 0, 1.00000, 0.99833, 0.98333, 0.95833, 0.95000,
 31, 0.00422, 0.99927, 0.97867, 0, 1.00000, 0.99833, 0.99000, 0.96000, 0.94500,
 32, 0.00552, 0.99872, 0.97267, 0, 1.00000, 0.99833, 0.98500, 0.96000, 0.92000,
 33, 0.00574, 0.99872, 0.94700, 0, 1.00000, 0.99500, 0.92167, 0.93833, 0.88000,
 34, 0.00628, 0.99799, 0.95767, 0, 1.00000, 0.99667, 0.97833, 0.94667, 0.86667,
 35, 0.00622, 0.99909, 0.96633, 0, 1.00000, 0.99833, 0.98833, 0.96167, 0.88333,
 36, 0.00536, 0.99854, 0.97767, 0, 1.00000, 1.00000, 0.99000, 0.96667, 0.93167,
 37, 0.00715, 0.99817, 0.96667, 0, 1.00000, 0.99667, 0.98333, 0.95333, 0.90000,
 38, 0.00578, 0.99872, 0.97033, 0, 1.00000, 0.99667, 0.98333, 0.95167, 0.92000,
 39, 0.00432, 0.99872, 0.98467, 1, 1.00000, 0.99833, 0.99667, 0.96000, 0.96833,
 40, 0.00415, 0.99854, 0.97400, 0, 1.00000, 0.99833, 0.99333, 0.96000, 0.91833,
