epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.00368, 0.99927, 0.93300, 1, 1.00000, 0.99000, 0.95333, 0.96167, 0.76000,
  1, 0.37256, 0.85481, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.13957, 0.95287, 0.80467, 0, 1.00000, 0.99000, 0.99833, 0.82500, 0.21000,
  3, 0.08348, 0.97354, 0.48033, 0, 1.00000, 0.12833, 0.25167, 0.83000, 0.19167,
  4, 0.07119, 0.97952, 0.96567, 1, 1.00000, 1.00000, 0.97833, 0.97833, 0.87167,
  5, 0.05603, 0.98097, 0.77700, 0, 1.00000, 0.97167, 0.97333, 0.88500, 0.05500,
  6, 0.05278, 0.98224, 0.95133, 0, 1.00000, 0.99667, 0.99333, 0.96500, 0.80167,
  7, 0.04460, 0.98731, 0.98300, 1, 1.00000, 0.99000, 0.99167, 0.96167, 0.97167,
  8, 0.04028, 0.98767, 0.83167, 0, 1.00000, 0.87833, 0.77333, 0.51000, 0.99667,
  9, 0.03495, 0.98967, 0.89667, 0, 1.00000, 0.99500, 0.99333, 0.96333, 0.53167,
 10, 0.03650, 0.98949, 0.95033, 0, 1.00000, 0.99333, 0.98000, 0.94500, 0.83333,
 11, 0.03021, 0.99184, 0.97233, 0, 1.00000, 0.98000, 0.96167, 0.93500, 0.98500,
 12, 0.02753, 0.99384, 0.96267, 0, 1.00000, 0.96500, 0.94833, 0.90667, 0.99333,
 13, 0.02585, 0.99257, 0.97633, 0, 0.98833, 0.99000, 0.96000, 0.97167, 0.97167,
 14, 0.02182, 0.99402, 0.93467, 0, 1.00000, 1.00000, 0.99167, 0.94500, 0.73667,
 15, 0.01929, 0.99438, 0.95467, 0, 1.00000, 0.99667, 0.99000, 0.95667, 0.83000,
 16, 0.01380, 0.99601, 0.96167, 0, 1.00000, 0.99833, 0.99333, 0.97000, 0.84667,
 17, 0.02096, 0.99402, 0.95833, 0, 1.00000, 0.99833, 0.99333, 0.95833, 0.84167,
 18, 0.02082, 0.99438, 0.98667, 1, 1.00000, 0.99667, 0.99500, 0.96833, 0.97333,
 19, 0.00978, 0.99782, 0.97200, 0, 1.00000, 0.99333, 0.99167, 0.96833, 0.90667,
 20, 0.01198, 0.99710, 0.91000, 0, 1.00000, 0.99500, 0.99000, 0.95333, 0.61167,
 21, 0.01257, 0.99728, 0.98267, 0, 1.00000, 0.99500, 0.99500, 0.97333, 0.95000,
 22, 0.00900, 0.99746, 0.97133, 0, 1.00000, 0.98833, 0.97333, 0.90167, 0.99333,
 23, 0.00838, 0.99764, 0.97800, 0, 1.00000, 0.99500, 0.99500, 0.97167, 0.92833,
 24, 0.00649, 0.99873, 0.91667, 0, 1.00000, 0.99667, 0.99000, 0.93000, 0.66667,
 25, 0.00733, 0.99837, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 26, 0.00896, 0.99746, 0.95067, 0, 1.00000, 0.99500, 0.99333, 0.97167, 0.79333,
 27, 0.00718, 0.99819, 0.95067, 0, 1.00000, 0.99167, 0.99167, 0.96333, 0.80667,
 28, 0.00686, 0.99837, 0.94800, 0, 1.00000, 0.99167, 0.98000, 0.95500, 0.81333,
 29, 0.00595, 0.99837, 0.95867, 0, 1.00000, 0.99167, 0.99000, 0.97167, 0.84000,
 30, 0.00490, 0.99873, 0.97067, 0, 1.00000, 0.99167, 0.98833, 0.97000, 0.90333,
 31, 0.00581, 0.99837, 0.96833, 0, 1.00000, 0.99667, 0.99167, 0.96333, 0.89000,
 32, 0.00485, 0.99837, 0.90033, 0, 1.00000, 0.99667, 0.96500, 0.96000, 0.58000,
 33, 0.00549, 0.99801, 0.93800, 0, 1.00000, 0.99667, 0.98167, 0.94667, 0.76500,
 34, 0.00649, 0.99855, 0.88867, 0, 1.00000, 0.99833, 0.98500, 0.96500, 0.49500,
 35, 0.00412, 0.99909, 0.94433, 0, 1.00000, 1.00000, 0.99000, 0.97333, 0.75833,
 36, 0.00401, 0.99927, 0.97000, 0, 1.00000, 0.99500, 0.99167, 0.97333, 0.89000,
 37, 0.00504, 0.99855, 0.96800, 0, 1.00000, 0.99667, 0.99167, 0.96333, 0.88833,
 38, 0.00470, 0.99873, 0.92167, 0, 1.00000, 0.99667, 0.99333, 0.97333, 0.64500,
 39, 0.00503, 0.99873, 0.94667, 0, 1.00000, 0.99500, 0.98833, 0.95000, 0.80000,
 40, 0.00389, 0.99927, 0.97467, 0, 1.00000, 0.99500, 0.99167, 0.96667, 0.92000,
 41, 0.00456, 0.99909, 0.96133, 0, 1.00000, 0.99667, 0.99167, 0.96833, 0.85000,
 42, 0.00420, 0.99873, 0.96000, 0, 1.00000, 0.99667, 0.98167, 0.96667, 0.85500,
 43, 0.00337, 0.99909, 0.95000, 0, 1.00000, 0.99333, 0.99000, 0.94833, 0.81833,
 44, 0.00359, 0.99909, 0.93800, 0, 1.00000, 0.99333, 0.99167, 0.96667, 0.73833,
 45, 0.00339, 0.99909, 0.96400, 0, 1.00000, 0.99667, 0.99500, 0.96500, 0.86333,
 46, 0.00336, 0.99891, 0.97133, 0, 1.00000, 0.99500, 0.99333, 0.96333, 0.90500,
 47, 0.00437, 0.99873, 0.96667, 0, 1.00000, 0.99667, 0.98500, 0.95167, 0.90000,
 48, 0.00359, 0.99891, 0.91400, 0, 1.00000, 0.99667, 0.98000, 0.96000, 0.63333,
 49, 0.00304, 0.99837, 0.96433, 0, 1.00000, 0.99500, 0.98667, 0.96333, 0.87667,
 50, 0.00241, 0.99927, 0.94600, 0, 1.00000, 0.99167, 0.97833, 0.93167, 0.82833,
 51, 0.00279, 0.99909, 0.96100, 0, 1.00000, 0.99667, 0.99167, 0.96833, 0.84833,
 52, 0.00274, 0.99927, 0.94867, 0, 1.00000, 0.99667, 0.98000, 0.95333, 0.81333,
 53, 0.00284, 0.99927, 0.97367, 0, 1.00000, 0.99667, 0.99333, 0.96333, 0.91500,
 54, 0.00265, 0.99927, 0.96967, 0, 1.00000, 0.99667, 0.99167, 0.96667, 0.89333,
 55, 0.00261, 0.99909, 0.94100, 0, 1.00000, 0.99667, 0.98333, 0.95333, 0.77167,
 56, 0.00210, 0.99927, 0.97700, 0, 1.00000, 0.99500, 0.99333, 0.97333, 0.92333,
 57, 0.00271, 0.99946, 0.97167, 0, 1.00000, 0.99667, 0.99333, 0.95833, 0.91000,
 58, 0.00289, 0.99891, 0.95267, 0, 1.00000, 0.98333, 0.98167, 0.93833, 0.86000,
 59, 0.00305, 0.99909, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
