epoch, training_loss, training_acc, test_acc, is_new_best, test_class_1, test_class_2, test_class_3, test_class_4, test_class_5,
  0, 0.06966, 0.98163, 0.20767, 1, 0.01667, 0.00000, 0.00333, 0.01833, 1.00000,
  1, 0.04071, 0.98898, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  2, 0.03210, 0.99248, 0.64300, 1, 0.99667, 0.32667, 0.55833, 0.33500, 0.99833,
  3, 0.02239, 0.99563, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
  4, 0.02331, 0.99510, 0.65300, 1, 0.97500, 0.22000, 0.67167, 0.40167, 0.99667,
  5, 0.01677, 0.99720, 0.98133, 1, 1.00000, 1.00000, 0.99833, 0.96500, 0.94333,
  6, 0.01460, 0.99790, 0.98600, 1, 1.00000, 0.99833, 1.00000, 0.97167, 0.96000,
  7, 0.01756, 0.99598, 0.20300, 0, 0.01500, 0.00000, 0.00000, 0.00000, 1.00000,
  8, 0.02799, 0.99335, 0.98200, 0, 1.00000, 0.99667, 1.00000, 0.96667, 0.94667,
  9, 0.01484, 0.99685, 0.20567, 0, 0.01000, 0.00000, 0.00000, 0.01833, 1.00000,
 10, 0.01272, 0.99755, 0.97333, 0, 1.00000, 1.00000, 1.00000, 0.96000, 0.90667,
 11, 0.00969, 0.99860, 0.20000, 0, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000,
 12, 0.01281, 0.99790, 0.93867, 0, 0.99333, 0.89000, 0.84333, 0.99000, 0.97667,
 13, 0.01315, 0.99843, 0.97833, 0, 1.00000, 1.00000, 1.00000, 0.96333, 0.92833,
 14, 0.01076, 0.99843, 0.98767, 1, 1.00000, 0.99833, 0.99167, 0.98333, 0.96500,
 15, 0.00992, 0.99913, 0.98400, 0, 1.00000, 0.99833, 1.00000, 0.97667, 0.94500,
 16, 0.00945, 0.99825, 0.98533, 0, 1.00000, 0.99833, 1.00000, 0.97667, 0.95167,
 17, 0.00906, 0.99878, 0.96700, 0, 0.99500, 0.92833, 0.97500, 0.96167, 0.97500,
 18, 0.00873, 0.99843, 0.98700, 0, 1.00000, 1.00000, 1.00000, 0.97167, 0.96333,
 19, 0.00858, 0.99930, 0.96767, 0, 1.00000, 1.00000, 1.00000, 0.96500, 0.87333,
 20, 0.00789, 0.99878, 0.97567, 0, 1.00000, 1.00000, 0.99500, 0.96500, 0.91833,
 21, 0.00787, 0.99913, 0.20200, 0, 0.00667, 0.00000, 0.00000, 0.00333, 1.00000,
 22, 0.00821, 0.99843, 0.98600, 0, 1.00000, 1.00000, 1.00000, 0.96833, 0.96167,
 23, 0.00746, 0.99913, 0.98300, 0, 1.00000, 0.99833, 1.00000, 0.96667, 0.95000,
 24, 0.00970, 0.99790, 0.98967, 1, 1.00000, 1.00000, 1.00000, 0.96667, 0.98167,
 25, 0.00785, 0.99860, 0.98767, 0, 1.00000, 1.00000, 1.00000, 0.97333, 0.96500,
 26, 0.00666, 0.99930, 0.98300, 0, 1.00000, 1.00000, 1.00000, 0.96500, 0.95000,
 27, 0.00580, 0.99913, 0.98100, 0, 1.00000, 1.00000, 1.00000, 0.96833, 0.93667,
 28, 0.00567, 0.99930, 0.20967, 0, 0.02667, 0.00000, 0.00000, 0.02167, 1.00000,
 29, 0.00531, 0.99895, 0.20633, 0, 0.01000, 0.00000, 0.00000, 0.02167, 1.00000,
 30, 0.00472, 0.99930, 0.98433, 0, 1.00000, 1.00000, 1.00000, 0.96833, 0.95333,
