process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00000, 00000, 0.000002, 0.000029, 0.999867, 0.000070, 0.000032, 1, 1581713384.7601676,
00004, 00004, 0.000009, 0.000043, 0.996391, 0.002561, 0.000996, 1, 1581713385.2026584,
00003, 00003, 0.000003, 0.000030, 0.999794, 0.000115, 0.000058, 1, 1581713385.4804685,
00013, 00013, 0.000003, 0.000028, 0.999838, 0.000088, 0.000044, 1, 1581713385.494951,
00002, 00002, 0.000002, 0.000039, 0.999898, 0.000046, 0.000016, 1, 1581713385.5643058,
00014, 00014, 0.000002, 0.000039, 0.999889, 0.000044, 0.000027, 1, 1581713385.739066,
00005, 00005, 0.000005, 0.000036, 0.999241, 0.000518, 0.000200, 1, 1581713385.7983463,
00008, 00008, 0.000002, 0.000039, 0.999886, 0.000056, 0.000017, 1, 1581713386.3832815,
00012, 00012, 0.000002, 0.000042, 0.999903, 0.000041, 0.000012, 1, 1581713387.0726714,
00001, 00001, 0.000004, 0.000030, 0.999521, 0.000302, 0.000142, 1, 1581713387.1314788,
00028, 00028, 0.000002, 0.000033, 0.999889, 0.000049, 0.000028, 1, 1581713387.2449818,
00011, 00011, 0.000002, 0.000039, 0.999902, 0.000044, 0.000014, 1, 1581713387.279419,
00009, 00009, 0.000001, 0.000058, 0.999913, 0.000018, 0.000009, 1, 1581713387.3469594,
00022, 00022, 0.000003, 0.000035, 0.999668, 0.000216, 0.000078, 1, 1581713387.4593997,
00027, 00027, 0.000005, 0.000049, 0.999158, 0.000560, 0.000229, 1, 1581713387.4817595,
00021, 00021, 0.000006, 0.000041, 0.998954, 0.000762, 0.000237, 1, 1581713387.6873488,
00026, 00026, 0.000006, 0.000034, 0.999549, 0.000295, 0.000117, 1, 1581713387.711597,
00007, 00007, 0.000005, 0.000044, 0.999898, 0.000033, 0.000019, 1, 1581713388.0780337,
00015, 00015, 0.000006, 0.000034, 0.999286, 0.000475, 0.000200, 1, 1581713388.1900308,
00029, 00029, 0.000002, 0.000028, 0.999869, 0.000064, 0.000037, 1, 1581713388.2108414,
00018, 00018, 0.000002, 0.000037, 0.999859, 0.000068, 0.000034, 1, 1581713388.7693474,
00017, 00017, 0.000004, 0.000034, 0.999691, 0.000204, 0.000068, 1, 1581713388.8446646,
00019, 00019, 0.000003, 0.000031, 0.999896, 0.000049, 0.000022, 1, 1581713389.0676842,
00006, 00006, 0.000002, 0.000039, 0.999917, 0.000030, 0.000012, 1, 1581713389.108747,
00023, 00023, 0.000013, 0.000065, 0.998773, 0.000924, 0.000225, 1, 1581713389.1251743,
